Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
CHIWAN,17,132.828,China,SHEKOU,17,58.312,China,2022S01,S1   2022,2022,S,Semi-annual,156,4,Dry breakbulk carriers,1.6292,,17,,10499,,91649,,14781,,103652,,,,,
CHIWAN,17,132.828,China,SHEKOU,17,58.312,China,2022S01,S1   2022,2022,S,Semi-annual,156,5,Dry bulk carriers,2.066,,14,,42670,,204014,,77916,,404389,,,,,
CHIWAN,17,132.828,China,SHEKOU,17,58.312,China,2022S01,S1   2022,2022,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,13,,31057,,76420,,10800,,43878,,,,,
CHIWAN,17,132.828,China,SHEKOU,17,58.312,China,2022S01,S1   2022,2022,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0392,,15,,9885,,60784,,10706,,64220,,,,,
CHIWAN,17,132.828,China,SHEKOU,17,58.312,China,2022S01,S1   2022,2022,S,Semi-annual,156,8,Liquefied natural gas carriers,1.2313,,11,,101178,,168189,,81703,,155159,,,,,
TIANJIN,27,109.448,China,PORT OF VIRGINIA,27,50.444,USA,2018S01,S1   2018,2018,S,Semi-annual,156,0,All ships,1.01,,12,,32056,,217673,,43890,,403811,,4644,,21413,
TIANJIN,27,109.448,China,PORT OF VIRGINIA,27,50.444,USA,2018S01,S1   2018,2018,S,Semi-annual,156,1,Passenger ships,,,10,,17075,,168666,,,,,,,,,
TIANJIN,27,109.448,China,PORT OF VIRGINIA,27,50.444,USA,2018S01,S1   2018,2018,S,Semi-annual,156,2,Liquid bulk carriers,1.09,,11,,19404,,172146,,33892,,323527,,,,,
TIANJIN,27,109.448,China,PORT OF VIRGINIA,27,50.444,USA,2018S01,S1   2018,2018,S,Semi-annual,156,3,Container ships,0.6,,11,,50187,,217673,,,,,,4644,,21413,
TIANJIN,27,109.448,China,PORT OF VIRGINIA,27,50.444,USA,2018S01,S1   2018,2018,S,Semi-annual,156,4,Dry breakbulk carriers,1.15,,15,,9744,,91784,,14027,,138743,,,,,
TIANJIN,27,109.448,China,PORT OF VIRGINIA,27,50.444,USA,2018S01,S1   2018,2018,S,Semi-annual,156,5,Dry bulk carriers,1.99,,11,,41091,,203403,,74721,,403811,,,,,
TIANJIN,27,109.448,China,PORT OF VIRGINIA,27,50.444,USA,2018S01,S1   2018,2018,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29504,,77000,,9715,,43878,,,,,
TIANJIN,27,109.448,China,PORT OF VIRGINIA,27,50.444,USA,2018S01,S1   2018,2018,S,Semi-annual,156,7,Liquefied petroleum gas carriers,0.98,,12,,10094,,49292,,11170,,64220,,,,,
TIANJIN,27,109.448,China,PORT OF VIRGINIA,27,50.444,USA,2018S01,S1   2018,2018,S,Semi-annual,156,8,Liquefied natural gas carriers,1.26,,9,,102691,,168189,,83873,,154940,,,,,
QINGDAO,42,95.043,China,JEBEL ALI,42,37.549,United Arab Emirates,2022S01,S1   2022,2022,S,Semi-annual,156,0,All ships,1.1563,,14,,33241,,236583,,46318,,404389,,4446,,24000,
QINGDAO,42,95.043,China,JEBEL ALI,42,37.549,United Arab Emirates,2022S01,S1   2022,2022,S,Semi-annual,156,1,Passenger ships,,,12,,21848,,77499,,,,,,,,,
QINGDAO,42,95.043,China,JEBEL ALI,42,37.549,United Arab Emirates,2022S01,S1   2022,2022,S,Semi-annual,156,2,Liquid bulk carriers,1.1451,,12,,19438,,170618,,33800,,323183,,,,,
QINGDAO,42,95.043,China,JEBEL ALI,42,37.549,United Arab Emirates,2022S01,S1   2022,2022,S,Semi-annual,156,3,Container ships,0.7743,,13,,47428,,236583,,,,,,4446,,24000,
