Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Statistic Approach Rank,IndeX Value,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
GAVLE,252,-4.762,Sweden,252,-2.258,2018S01,S1   2018,2018,S,Semi-annual,752,8,Liquefied natural gas carriers,0.58,,4,,10517,,22887,,7448,,20900,,,,,
CHORNOMORSK,169,13.895,Ukraine,169,5.524,,,,,,,,,,,,,,,,,,,,,,,,
ODESSA,209,4.411,Ukraine,209,1.804,,,,,,,,,,,,,,,,,,,,,,,,
YUZHNY,317,-52.207,Ukraine,317,-23.885,,,,,,,,,,,,,,,,,,,,,,,,
MATADI,171,13.688,the Republic of the Congo,171,5.364,,,,,,,,,,,,,,,,,,,,,,,,
POINTE-NOIRE,362,-320.281,the Republic of the Congo,362,-110.337,,,,,,,,,,,,,,,,,,,,,,,,
PLO?E,173,13.197,the Republic of Croatia,173,5.061,,,,,,,,,,,,,,,,,,,,,,,,
LATAKIA,174,13.064,Syria,174,5.027,,,,,,,,,,,,,,,,,,,,,,,,
TARTOUS,219,2.818,Syria,219,1.047,,,,,,,,,,,,,,,,,,,,,,,,
MUUGA-PORT OF TALLINN,175,12.837,Estonia,175,4.921,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPSBURG,177,12.744,Sint Maarten,177,4.853,,,,,,,,,,,,,,,,,,,,,,,,
PORT-AU-PRINCE,178,12.047,the Republic of Haiti,178,4.82,,,,,,,,,,,,,,,,,,,,,,,,
HELSINKI,180,11.625,Finland,180,4.685,,,,,,,,,,,,,,,,,,,,,,,,
RAUMA,201,7.474,Finland,201,2.558,,,,,,,,,,,,,,,,,,,,,,,,
KOTKA,243,-2.04,Finland,243,-0.874,,,,,,,,,,,,,,,,,,,,,,,,
SUBIC BAY,181,11.622,Philippines,181,4.675,,,,,,,,,,,,,,,,,,,,,,,,
CAGAYAN DE ORO,208,4.44,Philippines,208,1.92,,,,,,,,,,,,,,,,,,,,,,,,
DAVAO,274,-13.669,Philippines,274,-6.11,,,,,,,,,,,,,,,,,,,,,,,,
MANILA,327,-67.096,Philippines,327,-29.655,,,,,,,,,,,,,,,,,,,,,,,,
BAR,183,11.238,Montenegro,183,4.634,,,,,,,,,,,,,,,,,,,,,,,,
BERBERA,184,10.913,Somaliland,184,4.593,,,,,,,,,,,,,,,,,,,,,,,,
SHUAIBA,185,10.77,Kuwait,185,4.443,,,,,,,,,,,,,,,,,,,,,,,,
SHUWAIKH,189,9.587,Kuwait,189,3.966,,,,,,,,,,,,,,,,,,,,,,,,
KLAIPEDA,186,10.587,Lithuania,186,4.4,,,,,,,,,,,,,,,,,,,,,,,,
RIJEKA,190,9.469,Croatia,190,3.96,2018S01,S1   2018,2018,S,Semi-annual,191,0,All ships,1.18,,15,,3904,,143521,,17120,,182060,,3427,,13100,
RIJEKA,190,9.469,Croatia,190,3.96,2018S01,S1   2018,2018,S,Semi-annual,191,1,Passenger ships,,,15,,3516,,133596,,,,,,,,,
RIJEKA,190,9.469,Croatia,190,3.96,2018S01,S1   2018,2018,S,Semi-annual,191,2,Liquid bulk carriers,1.02,,13,,17998,,84844,,31738,,164274,,,,,
RIJEKA,190,9.469,Croatia,190,3.96,2018S01,S1   2018,2018,S,Semi-annual,191,3,Container ships,0.55,,13,,37578,,143521,,,,,,3427,,13100,
RIJEKA,190,9.469,Croatia,190,3.96,2018S01,S1   2018,2018,S,Semi-annual,191,4,Dry breakbulk carriers,2.87,,21,,4544,,19426,,6152,,26931,,,,,
RIJEKA,190,9.469,Croatia,190,3.96,2018S01,S1   2018,2018,S,Semi-annual,191,5,Dry bulk carriers,2.09,,33,,9724,,93360,,16659,,182060,,,,,
RIJEKA,190,9.469,Croatia,190,3.96,2021S02,S2   2021,2021,S,Semi-annual,191,8,Liquefied natural gas carriers,1.5611,,8,,118462,,163922,,95783,,130441,,,,,
BURGAS,195,8.586,Bulgaria,195,3.237,,,,,,,,,,,,,,,,,,,,,,,,
VARNA,225,1.502,Bulgaria,225,0.53,,,,,,,,,,,,,,,,,,,,,,,,
HAIFA,196,8.497,Israel,196,3.154,,,,,,,,,,,,,,,,,,,,,,,,
ASHDOD,329,-69.31,Israel,329,-30.575,,,,,,,,,,,,,,,,,,,,,,,,
APRA HARBOR,199,7.721,United States territory of Guam,199,2.722,,,,,,,,,,,,,,,,,,,,,,,,
GDANSK,203,6.155,Poland,203,2.387,,,,,,,,,,,,,,,,,,,,,,,,
GDYNIA,255,-6.058,Poland,255,-2.789,,,,,,,,,,,,,,,,,,,,,,,,
NASSAU,212,4.013,Bahamas,212,1.578,,,,,,,,,,,,,,,,,,,,,,,,
FREEPORT (BAHAMAS),352,-157.072,Bahamas,352,-66.771,,,,,,,,,,,,,,,,,,,,,,,,
RIGA,214,3.903,Latvia,214,1.535,,,,,,,,,,,,,,,,,,,,,,,,
BELL BAY,218,3.146,Australia,218,1.152,2018S01,S1   2018,2018,S,Semi-annual,36,0,All ships,1.49,,19,,25686,,168666,,78572,,299688,,4263,,8084,
BELL BAY,218,3.146,Australia,218,1.152,2018S01,S1   2018,2018,S,Semi-annual,36,1,Passenger ships,,,27,,5105,,168666,,,,,,,,,
BELL BAY,218,3.146,Australia,218,1.152,2018S01,S1   2018,2018,S,Semi-annual,36,2,Liquid bulk carriers,1.34,,7,,23585,,85496,,40187,,166447,,,,,
BELL BAY,218,3.146,Australia,218,1.152,2018S01,S1   2018,2018,S,Semi-annual,36,3,Container ships,1.19,,12,,46778,,90449,,,,,,4263,,8084,
BELL BAY,218,3.146,Australia,218,1.152,2018S01,S1   2018,2018,S,Semi-annual,36,4,Dry breakbulk carriers,1.69,,12,,15417,,54529,,21345,,80500,,,,,
BELL BAY,218,3.146,Australia,218,1.152,2018S01,S1   2018,2018,S,Semi-annual,36,5,Dry bulk carriers,1.68,,9,,59996,,152305,,112598,,299688,,,,,
BELL BAY,218,3.146,Australia,218,1.152,2018S01,S1   2018,2018,S,Semi-annual,36,6,Roll-on/ roll-off ships,,,14,,42019,,77000,,15797,,43878,,,,,
BELL BAY,218,3.146,Australia,218,1.152,2018S01,S1   2018,2018,S,Semi-annual,36,7,Liquefied petroleum gas carriers,0.87,,11,,12082,,48963,,14044,,55250,,,,,
BELL BAY,218,3.146,Australia,218,1.152,2018S01,S1   2018,2018,S,Semi-annual,36,8,Liquefied natural gas carriers,1.23,,9,,110103,,144978,,84312,,121963,,,,,
ADELAIDE,264,-9.863,Australia,264,-4.755,2018S01,S1   2018,2018,S,Semi-annual,36,0,All ships,1.49,,19,,25686,,168666,,78572,,299688,,4263,,8084,
ADELAIDE,264,-9.863,Australia,264,-4.755,2018S01,S1   2018,2018,S,Semi-annual,36,1,Passenger ships,,,27,,5105,,168666,,,,,,,,,
ADELAIDE,264,-9.863,Australia,264,-4.755,2018S01,S1   2018,2018,S,Semi-annual,36,2,Liquid bulk carriers,1.34,,7,,23585,,85496,,40187,,166447,,,,,
ADELAIDE,264,-9.863,Australia,264,-4.755,2018S01,S1   2018,2018,S,Semi-annual,36,3,Container ships,1.19,,12,,46778,,90449,,,,,,4263,,8084,
ADELAIDE,264,-9.863,Australia,264,-4.755,2018S01,S1   2018,2018,S,Semi-annual,36,4,Dry breakbulk carriers,1.69,,12,,15417,,54529,,21345,,80500,,,,,
ADELAIDE,264,-9.863,Australia,264,-4.755,2018S01,S1   2018,2018,S,Semi-annual,36,5,Dry bulk carriers,1.68,,9,,59996,,152305,,112598,,299688,,,,,
ADELAIDE,264,-9.863,Australia,264,-4.755,2018S01,S1   2018,2018,S,Semi-annual,36,6,Roll-on/ roll-off ships,,,14,,42019,,77000,,15797,,43878,,,,,
ADELAIDE,264,-9.863,Australia,264,-4.755,2018S01,S1   2018,2018,S,Semi-annual,36,7,Liquefied petroleum gas carriers,0.87,,11,,12082,,48963,,14044,,55250,,,,,
ADELAIDE,264,-9.863,Australia,264,-4.755,2018S01,S1   2018,2018,S,Semi-annual,36,8,Liquefied natural gas carriers,1.23,,9,,110103,,144978,,84312,,121963,,,,,
BRISBANE,288,-24.619,Australia,288,-9.944,2018S01,S1   2018,2018,S,Semi-annual,36,0,All ships,1.49,,19,,25686,,168666,,78572,,299688,,4263,,8084,
BRISBANE,288,-24.619,Australia,288,-9.944,2018S01,S1   2018,2018,S,Semi-annual,36,1,Passenger ships,,,27,,5105,,168666,,,,,,,,,
BRISBANE,288,-24.619,Australia,288,-9.944,2018S01,S1   2018,2018,S,Semi-annual,36,2,Liquid bulk carriers,1.34,,7,,23585,,85496,,40187,,166447,,,,,
BRISBANE,288,-24.619,Australia,288,-9.944,2018S01,S1   2018,2018,S,Semi-annual,36,3,Container ships,1.19,,12,,46778,,90449,,,,,,4263,,8084,
BRISBANE,288,-24.619,Australia,288,-9.944,2018S01,S1   2018,2018,S,Semi-annual,36,4,Dry breakbulk carriers,1.69,,12,,15417,,54529,,21345,,80500,,,,,
BRISBANE,288,-24.619,Australia,288,-9.944,2018S01,S1   2018,2018,S,Semi-annual,36,5,Dry bulk carriers,1.68,,9,,59996,,152305,,112598,,299688,,,,,
BRISBANE,288,-24.619,Australia,288,-9.944,2018S01,S1   2018,2018,S,Semi-annual,36,6,Roll-on/ roll-off ships,,,14,,42019,,77000,,15797,,43878,,,,,
BRISBANE,288,-24.619,Australia,288,-9.944,2018S01,S1   2018,2018,S,Semi-annual,36,7,Liquefied petroleum gas carriers,0.87,,11,,12082,,48963,,14044,,55250,,,,,
BRISBANE,288,-24.619,Australia,288,-9.944,2018S01,S1   2018,2018,S,Semi-annual,36,8,Liquefied natural gas carriers,1.23,,9,,110103,,144978,,84312,,121963,,,,,
MELBOURNE,308,-37.421,Australia,308,-17.575,2018S01,S1   2018,2018,S,Semi-annual,36,0,All ships,1.49,,19,,25686,,168666,,78572,,299688,,4263,,8084,
MELBOURNE,308,-37.421,Australia,308,-17.575,2018S01,S1   2018,2018,S,Semi-annual,36,1,Passenger ships,,,27,,5105,,168666,,,,,,,,,
MELBOURNE,308,-37.421,Australia,308,-17.575,2018S01,S1   2018,2018,S,Semi-annual,36,2,Liquid bulk carriers,1.34,,7,,23585,,85496,,40187,,166447,,,,,
MELBOURNE,308,-37.421,Australia,308,-17.575,2018S01,S1   2018,2018,S,Semi-annual,36,3,Container ships,1.19,,12,,46778,,90449,,,,,,4263,,8084,
MELBOURNE,308,-37.421,Australia,308,-17.575,2018S01,S1   2018,2018,S,Semi-annual,36,4,Dry breakbulk carriers,1.69,,12,,15417,,54529,,21345,,80500,,,,,
MELBOURNE,308,-37.421,Australia,308,-17.575,2018S01,S1   2018,2018,S,Semi-annual,36,5,Dry bulk carriers,1.68,,9,,59996,,152305,,112598,,299688,,,,,
MELBOURNE,308,-37.421,Australia,308,-17.575,2018S01,S1   2018,2018,S,Semi-annual,36,6,Roll-on/ roll-off ships,,,14,,42019,,77000,,15797,,43878,,,,,
MELBOURNE,308,-37.421,Australia,308,-17.575,2018S01,S1   2018,2018,S,Semi-annual,36,7,Liquefied petroleum gas carriers,0.87,,11,,12082,,48963,,14044,,55250,,,,,
MELBOURNE,308,-37.421,Australia,308,-17.575,2018S01,S1   2018,2018,S,Semi-annual,36,8,Liquefied natural gas carriers,1.23,,9,,110103,,144978,,84312,,121963,,,,,
PORT BOTANY,324,-63.908,Australia,324,-28.809,2018S01,S1   2018,2018,S,Semi-annual,36,0,All ships,1.49,,19,,25686,,168666,,78572,,299688,,4263,,8084,
PORT BOTANY,324,-63.908,Australia,324,-28.809,2018S01,S1   2018,2018,S,Semi-annual,36,1,Passenger ships,,,27,,5105,,168666,,,,,,,,,
PORT BOTANY,324,-63.908,Australia,324,-28.809,2018S01,S1   2018,2018,S,Semi-annual,36,2,Liquid bulk carriers,1.34,,7,,23585,,85496,,40187,,166447,,,,,
PORT BOTANY,324,-63.908,Australia,324,-28.809,2018S01,S1   2018,2018,S,Semi-annual,36,3,Container ships,1.19,,12,,46778,,90449,,,,,,4263,,8084,
PORT BOTANY,324,-63.908,Australia,324,-28.809,2018S01,S1   2018,2018,S,Semi-annual,36,4,Dry breakbulk carriers,1.69,,12,,15417,,54529,,21345,,80500,,,,,
PORT BOTANY,324,-63.908,Australia,324,-28.809,2018S01,S1   2018,2018,S,Semi-annual,36,5,Dry bulk carriers,1.68,,9,,59996,,152305,,112598,,299688,,,,,
PORT BOTANY,324,-63.908,Australia,324,-28.809,2018S01,S1   2018,2018,S,Semi-annual,36,6,Roll-on/ roll-off ships,,,14,,42019,,77000,,15797,,43878,,,,,
PORT BOTANY,324,-63.908,Australia,324,-28.809,2018S01,S1   2018,2018,S,Semi-annual,36,7,Liquefied petroleum gas carriers,0.87,,11,,12082,,48963,,14044,,55250,,,,,
PORT BOTANY,324,-63.908,Australia,324,-28.809,2018S01,S1   2018,2018,S,Semi-annual,36,8,Liquefied natural gas carriers,1.23,,9,,110103,,144978,,84312,,121963,,,,,
FREMANTLE,335,-90.529,Australia,335,-39.902,2018S01,S1   2018,2018,S,Semi-annual,36,0,All ships,1.49,,19,,25686,,168666,,78572,,299688,,4263,,8084,
FREMANTLE,335,-90.529,Australia,335,-39.902,2018S01,S1   2018,2018,S,Semi-annual,36,1,Passenger ships,,,27,,5105,,168666,,,,,,,,,
FREMANTLE,335,-90.529,Australia,335,-39.902,2018S01,S1   2018,2018,S,Semi-annual,36,2,Liquid bulk carriers,1.34,,7,,23585,,85496,,40187,,166447,,,,,
FREMANTLE,335,-90.529,Australia,335,-39.902,2018S01,S1   2018,2018,S,Semi-annual,36,3,Container ships,1.19,,12,,46778,,90449,,,,,,4263,,8084,
FREMANTLE,335,-90.529,Australia,335,-39.902,2018S01,S1   2018,2018,S,Semi-annual,36,4,Dry breakbulk carriers,1.69,,12,,15417,,54529,,21345,,80500,,,,,
FREMANTLE,335,-90.529,Australia,335,-39.902,2018S01,S1   2018,2018,S,Semi-annual,36,5,Dry bulk carriers,1.68,,9,,59996,,152305,,112598,,299688,,,,,
FREMANTLE,335,-90.529,Australia,335,-39.902,2018S01,S1   2018,2018,S,Semi-annual,36,6,Roll-on/ roll-off ships,,,14,,42019,,77000,,15797,,43878,,,,,
FREMANTLE,335,-90.529,Australia,335,-39.902,2018S01,S1   2018,2018,S,Semi-annual,36,7,Liquefied petroleum gas carriers,0.87,,11,,12082,,48963,,14044,,55250,,,,,
FREMANTLE,335,-90.529,Australia,335,-39.902,2018S01,S1   2018,2018,S,Semi-annual,36,8,Liquefied natural gas carriers,1.23,,9,,110103,,144978,,84312,,121963,,,,,
MARIEL,222,1.973,Cuba,222,0.745,,,,,,,,,,,,,,,,,,,,,,,,
POTI,226,1.404,Georgia,226,0.415,,,,,,,,,,,,,,,,,,,,,,,,
BATUMI,245,-2.241,Georgia,245,-0.934,,,,,,,,,,,,,,,,,,,,,,,,
KOMPONG SOM,230,0.902,Cambodia,230,0.147,,,,,,,,,,,,,,,,,,,,,,,,
RADES,237,-0.821,Tunisia,237,-0.448,,,,,,,,,,,,,,,,,,,,,,,,
GEORGETOWN (GUYANA),238,-0.963,Guyana,238,-0.48,,,,,,,,,,,,,,,,,,,,,,,,
CONAKRY,242,-1.833,Guinea,242,-0.745,,,,,,,,,,,,,,,,,,,,,,,,
TEESPORT,257,-6.418,England,257,-3.425,,,,,,,,,,,,,,,,,,,,,,,,
CALLAO,258,-6.638,Peru,258,-3.518,,,,,,,,,,,,,,,,,,,,,,,,
MOGADISCIO,259,-7.613,Somalia,259,-3.644,,,,,,,,,,,,,,,,,,,,,,,,
LA GUAIRA,265,-10.037,Venezuela,265,-4.983,,,,,,,,,,,,,,,,,,,,,,,,
PUERTO CABELLO,287,-23.284,Venezuela,287,-9.607,,,,,,,,,,,,,,,,,,,,,,,,
FREETOWN,268,-11.843,Sierra Leone,268,-5.257,,,,,,,,,,,,,,,,,,,,,,,,
BEIRA,270,-12.045,Mozambique,270,-5.466,,,,,,,,,,,,,,,,,,,,,,,,
MAPUTO,321,-58.683,Mozambique,321,-25.565,,,,,,,,,,,,,,,,,,,,,,,,
ACAJUTLA,271,-12.182,El Salvador's,271,-5.658,,,,,,,,,,,,,,,,,,,,,,,,
CONSTANTZA,272,-12.712,Romania,272,-5.691,,,,,,,,,,,,,,,,,,,,,,,,
TOAMASINA,279,-16.113,Madagascar,279,-6.968,,,,,,,,,,,,,,,,,,,,,,,,
TAKORADI,281,-18.202,Libya,281,-8.469,,,,,,,,,,,,,,,,,,,,,,,,
QASR AHMED,282,-18.283,Libya,282,-8.561,,,,,,,,,,,,,,,,,,,,,,,,
MONTEVIDEO,284,-20.895,Uruguay,284,-9.38,,,,,,,,,,,,,,,,,,,,,,,,
BEJAIA,285,-21.27,Algeria,285,-9.507,,,,,,,,,,,,,,,,,,,,,,,,
ALGIERS,306,-36.205,Algeria,306,-16.182,,,,,,,,,,,,,,,,,,,,,,,,
CORINTO,286,-21.337,Nicaragua,286,-9.533,,,,,,,,,,,,,,,,,,,,,,,,
ROTTERDAM,291,-26.82,the Netherlands,291,-11.15,,,,,,,,,,,,,,,,,,,,,,,,
DUTCH HARBOR,332,-74.601,the Netherlands,332,-34.889,,,,,,,,,,,,,,,,,,,,,,,,
MOMBASA,293,-27.174,Kenya,293,-11.873,,,,,,,,,,,,,,,,,,,,,,,,
POINT LISAS PORTS,295,-28.104,Trinidad,295,-12.157,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN,300,-30.607,the Republic of Ireland,300,-13.017,,,,,,,,,,,,,,,,,,,,,,,,
LAE,301,-31.73,New Guinea,301,-13.433,,,,,,,,,,,,,,,,,,,,,,,,
OWENDO,302,-32.614,Gabon,302,-13.513,,,,,,,,,,,,,,,,,,,,,,,,
DAKAR,303,-32.84,Senegal,303,-13.583,,,,,,,,,,,,,,,,,,,,,,,,
YANGON,304,-34.103,Myanmar,304,-14.923,,,,,,,,,,,,,,,,,,,,,,,,
ADEN,305,-34.779,Yemen,305,-15.275,,,,,,,,,,,,,,,,,,,,,,,,
GRANGEMOUTH,307,-36.219,Scotland,307,-16.59,,,,,,,,,,,,,,,,,,,,,,,,
DURRES,309,-37.626,Albania,309,-18.987,,,,,,,,,,,,,,,,,,,,,,,,
PORT ELIZABETH,312,-46.416,South Africa,312,-19.801,,,,,,,,,,,,,,,,,,,,,,,,
NGQURA,363,-359.179,South Africa,363,-155.82,,,,,,,,,,,,,,,,,,,,,,,,
DURBAN,364,-386.098,South Africa,364,-159.253,,,,,,,,,,,,,,,,,,,,,,,,
CAPE TOWN,365,-410.746,South Africa,365,-170.593,,,,,,,,,,,,,,,,,,,,,,,,
SAN PEDRO (COTE D'IVOIRE),318,-53.819,CÃ´te d?™Ivoire,318,-24.039,,,,,,,,,,,,,,,,,,,,,,,,
LIVERPOOL (UNITED KINGDOM),322,-58.778,United Kingdom,322,-25.648,2018S01,S1   2018,2018,S,Semi-annual,926,0,All ships,1.09,,17,,13546,,217673,,11828,,320051,,3549,,21413,
LIVERPOOL (UNITED KINGDOM),322,-58.778,United Kingdom,322,-25.648,2018S01,S1   2018,2018,S,Semi-annual,926,1,Passenger ships,,,18,,12082,,171598,,,,,,,,,
LIVERPOOL (UNITED KINGDOM),322,-58.778,United Kingdom,322,-25.648,2018S01,S1   2018,2018,S,Semi-annual,926,2,Liquid bulk carriers,1.05,,14,,12484,,165125,,20747,,320051,,,,,
LIVERPOOL (UNITED KINGDOM),322,-58.778,United Kingdom,322,-25.648,2018S01,S1   2018,2018,S,Semi-annual,926,3,Container ships,0.73,,13,,38235,,217673,,,,,,3549,,21413,
LIVERPOOL (UNITED KINGDOM),322,-58.778,United Kingdom,322,-25.648,2018S01,S1   2018,2018,S,Semi-annual,926,4,Dry breakbulk carriers,1.45,,18,,3339,,71543,,4571,,81279,,,,,
LIVERPOOL (UNITED KINGDOM),322,-58.778,United Kingdom,322,-25.648,2018S01,S1   2018,2018,S,Semi-annual,926,5,Dry bulk carriers,2.59,,14,,25214,,99195,,43717,,187882,,,,,
LIVERPOOL (UNITED KINGDOM),322,-58.778,United Kingdom,322,-25.648,2018S01,S1   2018,2018,S,Semi-annual,926,6,Roll-on/ roll-off ships,,,15,,24195,,100430,,9931,,55828,,,,,
LIVERPOOL (UNITED KINGDOM),322,-58.778,United Kingdom,322,-25.648,2018S01,S1   2018,2018,S,Semi-annual,926,7,Liquefied petroleum gas carriers,1.07,,11,,6779,,47454,,7170,,54684,,,,,
LIVERPOOL (UNITED KINGDOM),322,-58.778,United Kingdom,322,-25.648,2018S01,S1   2018,2018,S,Semi-annual,926,8,Liquefied natural gas carriers,1.44,,7,,76288,,168189,,62942,,154900,,,,,
FELIXSTOWE,334,-86.502,United Kingdom,334,-38.451,2018S01,S1   2018,2018,S,Semi-annual,926,0,All ships,1.09,,17,,13546,,217673,,11828,,320051,,3549,,21413,
FELIXSTOWE,334,-86.502,United Kingdom,334,-38.451,2018S01,S1   2018,2018,S,Semi-annual,926,1,Passenger ships,,,18,,12082,,171598,,,,,,,,,
FELIXSTOWE,334,-86.502,United Kingdom,334,-38.451,2018S01,S1   2018,2018,S,Semi-annual,926,2,Liquid bulk carriers,1.05,,14,,12484,,165125,,20747,,320051,,,,,
FELIXSTOWE,334,-86.502,United Kingdom,334,-38.451,2018S01,S1   2018,2018,S,Semi-annual,926,3,Container ships,0.73,,13,,38235,,217673,,,,,,3549,,21413,
FELIXSTOWE,334,-86.502,United Kingdom,334,-38.451,2018S01,S1   2018,2018,S,Semi-annual,926,4,Dry breakbulk carriers,1.45,,18,,3339,,71543,,4571,,81279,,,,,
FELIXSTOWE,334,-86.502,United Kingdom,334,-38.451,2018S01,S1   2018,2018,S,Semi-annual,926,5,Dry bulk carriers,2.59,,14,,25214,,99195,,43717,,187882,,,,,
FELIXSTOWE,334,-86.502,United Kingdom,334,-38.451,2018S01,S1   2018,2018,S,Semi-annual,926,6,Roll-on/ roll-off ships,,,15,,24195,,100430,,9931,,55828,,,,,
FELIXSTOWE,334,-86.502,United Kingdom,334,-38.451,2018S01,S1   2018,2018,S,Semi-annual,926,7,Liquefied petroleum gas carriers,1.07,,11,,6779,,47454,,7170,,54684,,,,,
FELIXSTOWE,334,-86.502,United Kingdom,334,-38.451,2018S01,S1   2018,2018,S,Semi-annual,926,8,Liquefied natural gas carriers,1.44,,7,,76288,,168189,,62942,,154900,,,,,
BRISTOL,343,-111.703,United Kingdom,343,-49.702,2018S01,S1   2018,2018,S,Semi-annual,926,0,All ships,1.09,,17,,13546,,217673,,11828,,320051,,3549,,21413,
BRISTOL,343,-111.703,United Kingdom,343,-49.702,2018S01,S1   2018,2018,S,Semi-annual,926,1,Passenger ships,,,18,,12082,,171598,,,,,,,,,
BRISTOL,343,-111.703,United Kingdom,343,-49.702,2018S01,S1   2018,2018,S,Semi-annual,926,2,Liquid bulk carriers,1.05,,14,,12484,,165125,,20747,,320051,,,,,
BRISTOL,343,-111.703,United Kingdom,343,-49.702,2018S01,S1   2018,2018,S,Semi-annual,926,3,Container ships,0.73,,13,,38235,,217673,,,,,,3549,,21413,
BRISTOL,343,-111.703,United Kingdom,343,-49.702,2018S01,S1   2018,2018,S,Semi-annual,926,4,Dry breakbulk carriers,1.45,,18,,3339,,71543,,4571,,81279,,,,,
BRISTOL,343,-111.703,United Kingdom,343,-49.702,2018S01,S1   2018,2018,S,Semi-annual,926,5,Dry bulk carriers,2.59,,14,,25214,,99195,,43717,,187882,,,,,
BRISTOL,343,-111.703,United Kingdom,343,-49.702,2018S01,S1   2018,2018,S,Semi-annual,926,6,Roll-on/ roll-off ships,,,15,,24195,,100430,,9931,,55828,,,,,
BRISTOL,343,-111.703,United Kingdom,343,-49.702,2018S01,S1   2018,2018,S,Semi-annual,926,7,Liquefied petroleum gas carriers,1.07,,11,,6779,,47454,,7170,,54684,,,,,
BRISTOL,343,-111.703,United Kingdom,343,-49.702,2018S01,S1   2018,2018,S,Semi-annual,926,8,Liquefied natural gas carriers,1.44,,7,,76288,,168189,,62942,,154900,,,,,
SOUTHAMPTON,346,-120.369,United Kingdom,346,-54.931,2018S01,S1   2018,2018,S,Semi-annual,926,0,All ships,1.09,,17,,13546,,217673,,11828,,320051,,3549,,21413,
SOUTHAMPTON,346,-120.369,United Kingdom,346,-54.931,2018S01,S1   2018,2018,S,Semi-annual,926,1,Passenger ships,,,18,,12082,,171598,,,,,,,,,
SOUTHAMPTON,346,-120.369,United Kingdom,346,-54.931,2018S01,S1   2018,2018,S,Semi-annual,926,2,Liquid bulk carriers,1.05,,14,,12484,,165125,,20747,,320051,,,,,
SOUTHAMPTON,346,-120.369,United Kingdom,346,-54.931,2018S01,S1   2018,2018,S,Semi-annual,926,3,Container ships,0.73,,13,,38235,,217673,,,,,,3549,,21413,
SOUTHAMPTON,346,-120.369,United Kingdom,346,-54.931,2018S01,S1   2018,2018,S,Semi-annual,926,4,Dry breakbulk carriers,1.45,,18,,3339,,71543,,4571,,81279,,,,,
SOUTHAMPTON,346,-120.369,United Kingdom,346,-54.931,2018S01,S1   2018,2018,S,Semi-annual,926,5,Dry bulk carriers,2.59,,14,,25214,,99195,,43717,,187882,,,,,
SOUTHAMPTON,346,-120.369,United Kingdom,346,-54.931,2018S01,S1   2018,2018,S,Semi-annual,926,6,Roll-on/ roll-off ships,,,15,,24195,,100430,,9931,,55828,,,,,
SOUTHAMPTON,346,-120.369,United Kingdom,346,-54.931,2018S01,S1   2018,2018,S,Semi-annual,926,7,Liquefied petroleum gas carriers,1.07,,11,,6779,,47454,,7170,,54684,,,,,
SOUTHAMPTON,346,-120.369,United Kingdom,346,-54.931,2018S01,S1   2018,2018,S,Semi-annual,926,8,Liquefied natural gas carriers,1.44,,7,,76288,,168189,,62942,,154900,,,,,
LONDON,347,-124.535,United Kingdom,347,-54.949,2018S01,S1   2018,2018,S,Semi-annual,926,0,All ships,1.09,,17,,13546,,217673,,11828,,320051,,3549,,21413,
LONDON,347,-124.535,United Kingdom,347,-54.949,2018S01,S1   2018,2018,S,Semi-annual,926,1,Passenger ships,,,18,,12082,,171598,,,,,,,,,
LONDON,347,-124.535,United Kingdom,347,-54.949,2018S01,S1   2018,2018,S,Semi-annual,926,2,Liquid bulk carriers,1.05,,14,,12484,,165125,,20747,,320051,,,,,
LONDON,347,-124.535,United Kingdom,347,-54.949,2018S01,S1   2018,2018,S,Semi-annual,926,3,Container ships,0.73,,13,,38235,,217673,,,,,,3549,,21413,
LONDON,347,-124.535,United Kingdom,347,-54.949,2018S01,S1   2018,2018,S,Semi-annual,926,4,Dry breakbulk carriers,1.45,,18,,3339,,71543,,4571,,81279,,,,,
LONDON,347,-124.535,United Kingdom,347,-54.949,2018S01,S1   2018,2018,S,Semi-annual,926,5,Dry bulk carriers,2.59,,14,,25214,,99195,,43717,,187882,,,,,
LONDON,347,-124.535,United Kingdom,347,-54.949,2018S01,S1   2018,2018,S,Semi-annual,926,6,Roll-on/ roll-off ships,,,15,,24195,,100430,,9931,,55828,,,,,
LONDON,347,-124.535,United Kingdom,347,-54.949,2018S01,S1   2018,2018,S,Semi-annual,926,7,Liquefied petroleum gas carriers,1.07,,11,,6779,,47454,,7170,,54684,,,,,
