Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
2021S01,S1   2021,2021,S,Semi-annual,1430,Developing economies: Asia,4,Dry breakbulk carriers,61241,
2021S01,S1   2021,2021,S,Semi-annual,1430,Developing economies: Asia,5,Dry bulk carriers,59406,
2021S01,S1   2021,2021,S,Semi-annual,1430,Developing economies: Asia,6,Roll-on/ roll-off ships,12741,
2021S01,S1   2021,2021,S,Semi-annual,1430,Developing economies: Asia,7,Liquefied petroleum gas carriers,12335,
2021S01,S1   2021,2021,S,Semi-annual,1430,Developing economies: Asia,8,Liquefied natural gas carriers,2259,
2021S01,S1   2021,2021,S,Semi-annual,1450,Developing economies: Oceania,0,All ships,6071,
2021S01,S1   2021,2021,S,Semi-annual,1450,Developing economies: Oceania,1,Passenger ships,3125,
2021S01,S1   2021,2021,S,Semi-annual,1450,Developing economies: Oceania,2,Liquid bulk carriers,409,
2021S01,S1   2021,2021,S,Semi-annual,1450,Developing economies: Oceania,3,Container ships,1013,
2021S01,S1   2021,2021,S,Semi-annual,1450,Developing economies: Oceania,4,Dry breakbulk carriers,1085,
2021S01,S1   2021,2021,S,Semi-annual,1450,Developing economies: Oceania,5,Dry bulk carriers,258,
2021S01,S1   2021,2021,S,Semi-annual,1450,Developing economies: Oceania,6,Roll-on/ roll-off ships,88,
2021S01,S1   2021,2021,S,Semi-annual,1450,Developing economies: Oceania,7,Liquefied petroleum gas carriers,38,
2021S01,S1   2021,2021,S,Semi-annual,1450,Developing economies: Oceania,8,Liquefied natural gas carriers,55,
2021S01,S1   2021,2021,S,Semi-annual,1460,Developing economies: Asia and Oceania,0,All ships,498625,
2021S01,S1   2021,2021,S,Semi-annual,1460,Developing economies: Asia and Oceania,1,Passenger ships,145881,
2021S01,S1   2021,2021,S,Semi-annual,1460,Developing economies: Asia and Oceania,2,Liquid bulk carriers,93413,
2021S01,S1   2021,2021,S,Semi-annual,1460,Developing economies: Asia and Oceania,3,Container ships,109825,
2021S01,S1   2021,2021,S,Semi-annual,1460,Developing economies: Asia and Oceania,4,Dry breakbulk carriers,62326,
2021S01,S1   2021,2021,S,Semi-annual,1460,Developing economies: Asia and Oceania,5,Dry bulk carriers,59664,
2021S01,S1   2021,2021,S,Semi-annual,1460,Developing economies: Asia and Oceania,6,Roll-on/ roll-off ships,12829,
2021S01,S1   2021,2021,S,Semi-annual,1460,Developing economies: Asia and Oceania,7,Liquefied petroleum gas carriers,12373,
2021S01,S1   2021,2021,S,Semi-annual,1460,Developing economies: Asia and Oceania,8,Liquefied natural gas carriers,2314,
2021S01,S1   2021,2021,S,Semi-annual,1500,Developed economies,0,All ships,1395512,
2021S01,S1   2021,2021,S,Semi-annual,1500,Developed economies,1,Passenger ships,894857,
2021S01,S1   2021,2021,S,Semi-annual,1500,Developed economies,2,Liquid bulk carriers,134303,
2021S01,S1   2021,2021,S,Semi-annual,1500,Developed economies,3,Container ships,87680,
2021S01,S1   2021,2021,S,Semi-annual,1500,Developed economies,4,Dry breakbulk carriers,134498,
2021S01,S1   2021,2021,S,Semi-annual,1500,Developed economies,5,Dry bulk carriers,58238,
2021S01,S1   2021,2021,S,Semi-annual,1500,Developed economies,6,Roll-on/ roll-off ships,68813,
2021S01,S1   2021,2021,S,Semi-annual,1500,Developed economies,7,Liquefied petroleum gas carriers,13270,
2021S01,S1   2021,2021,S,Semi-annual,1500,Developed economies,8,Liquefied natural gas carriers,3853,
2021S01,S1   2021,2021,S,Semi-annual,1520,Developed economies: Americas,0,All ships,177134,
2021S01,S1   2021,2021,S,Semi-annual,1520,Developed economies: Americas,1,Passenger ships,129362,
2021S01,S1   2021,2021,S,Semi-annual,1520,Developed economies: Americas,2,Liquid bulk carriers,12378,
2021S01,S1   2021,2021,S,Semi-annual,1520,Developed economies: Americas,3,Container ships,10601,
2021S01,S1   2021,2021,S,Semi-annual,1520,Developed economies: Americas,4,Dry breakbulk carriers,4849,
2021S01,S1   2021,2021,S,Semi-annual,1520,Developed economies: Americas,5,Dry bulk carriers,12537,
2021S01,S1   2021,2021,S,Semi-annual,1520,Developed economies: Americas,6,Roll-on/ roll-off ships,5495,
2021S01,S1   2021,2021,S,Semi-annual,1520,Developed economies: Americas,7,Liquefied petroleum gas carriers,1307,
2021S01,S1   2021,2021,S,Semi-annual,1520,Developed economies: Americas,8,Liquefied natural gas carriers,605,
2021S01,S1   2021,2021,S,Semi-annual,1530,Developed economies: Asia,0,All ships,176150,
2021S01,S1   2021,2021,S,Semi-annual,1530,Developed economies: Asia,1,Passenger ships,45069,
2021S01,S1   2021,2021,S,Semi-annual,1530,Developed economies: Asia,2,Liquid bulk carriers,33094,
2021S01,S1   2021,2021,S,Semi-annual,1530,Developed economies: Asia,3,Container ships,29647,
2021S01,S1   2021,2021,S,Semi-annual,1530,Developed economies: Asia,4,Dry breakbulk carriers,21680,
2021S01,S1   2021,2021,S,Semi-annual,1530,Developed economies: Asia,5,Dry bulk carriers,19547,
2021S01,S1   2021,2021,S,Semi-annual,1530,Developed economies: Asia,6,Roll-on/ roll-off ships,20800,
2021S01,S1   2021,2021,S,Semi-annual,1530,Developed economies: Asia,7,Liquefied petroleum gas carriers,4856,
2021S01,S1   2021,2021,S,Semi-annual,1530,Developed economies: Asia,8,Liquefied natural gas carriers,1457,
2021S01,S1   2021,2021,S,Semi-annual,1540,Developed economies: Europe,0,All ships,1006599,
2021S01,S1   2021,2021,S,Semi-annual,1540,Developed economies: Europe,1,Passenger ships,701706,
2021S01,S1   2021,2021,S,Semi-annual,1540,Developed economies: Europe,2,Liquid bulk carriers,86873,
2021S01,S1   2021,2021,S,Semi-annual,1540,Developed economies: Europe,3,Container ships,44504,
2021S01,S1   2021,2021,S,Semi-annual,1540,Developed economies: Europe,4,Dry breakbulk carriers,106735,
2021S01,S1   2021,2021,S,Semi-annual,1540,Developed economies: Europe,5,Dry bulk carriers,17729,
2021S01,S1   2021,2021,S,Semi-annual,1540,Developed economies: Europe,6,Roll-on/ roll-off ships,40921,
2021S01,S1   2021,2021,S,Semi-annual,1540,Developed economies: Europe,7,Liquefied petroleum gas carriers,6894,
2021S01,S1   2021,2021,S,Semi-annual,1540,Developed economies: Europe,8,Liquefied natural gas carriers,1237,
2021S01,S1   2021,2021,S,Semi-annual,1550,Developed economies: Oceania,0,All ships,35629,
2021S01,S1   2021,2021,S,Semi-annual,1550,Developed economies: Oceania,1,Passenger ships,18720,
2021S01,S1   2021,2021,S,Semi-annual,1550,Developed economies: Oceania,2,Liquid bulk carriers,1958,
2021S01,S1   2021,2021,S,Semi-annual,1550,Developed economies: Oceania,3,Container ships,2928,
2021S01,S1   2021,2021,S,Semi-annual,1550,Developed economies: Oceania,4,Dry breakbulk carriers,1234,
2021S01,S1   2021,2021,S,Semi-annual,1550,Developed economies: Oceania,5,Dry bulk carriers,8425,
2021S01,S1   2021,2021,S,Semi-annual,1550,Developed economies: Oceania,6,Roll-on/ roll-off ships,1597,
2021S01,S1   2021,2021,S,Semi-annual,1550,Developed economies: Oceania,7,Liquefied petroleum gas carriers,213,
2021S01,S1   2021,2021,S,Semi-annual,1550,Developed economies: Oceania,8,Liquefied natural gas carriers,554,
2021S01,S1   2021,2021,S,Semi-annual,156,China,0,All ships,132442,
2021S01,S1   2021,2021,S,Semi-annual,156,China,1,Passenger ships,16615,
2021S01,S1   2021,2021,S,Semi-annual,156,China,2,Liquid bulk carriers,22802,
2021S01,S1   2021,2021,S,Semi-annual,156,China,3,Container ships,36398,
2021S01,S1   2021,2021,S,Semi-annual,156,China,4,Dry breakbulk carriers,15301,
2021S01,S1   2021,2021,S,Semi-annual,156,China,5,Dry bulk carriers,32902,
2021S01,S1   2021,2021,S,Semi-annual,156,China,6,Roll-on/ roll-off ships,3175,
2021S01,S1   2021,2021,S,Semi-annual,156,China,7,Liquefied petroleum gas carriers,4584,
2021S01,S1   2021,2021,S,Semi-annual,156,China,8,Liquefied natural gas carriers,665,
2021S01,S1   2021,2021,S,Semi-annual,1560,Developed economies: Asia and Oceania,0,All ships,211779,
2021S01,S1   2021,2021,S,Semi-annual,1560,Developed economies: Asia and Oceania,1,Passenger ships,63789,
2021S01,S1   2021,2021,S,Semi-annual,1560,Developed economies: Asia and Oceania,2,Liquid bulk carriers,35052,
2021S01,S1   2021,2021,S,Semi-annual,1560,Developed economies: Asia and Oceania,3,Container ships,32575,
2021S01,S1   2021,2021,S,Semi-annual,1560,Developed economies: Asia and Oceania,4,Dry breakbulk carriers,22914,
2021S01,S1   2021,2021,S,Semi-annual,1560,Developed economies: Asia and Oceania,5,Dry bulk carriers,27972,
2021S01,S1   2021,2021,S,Semi-annual,1560,Developed economies: Asia and Oceania,6,Roll-on/ roll-off ships,22397,
2021S01,S1   2021,2021,S,Semi-annual,1560,Developed economies: Asia and Oceania,7,Liquefied petroleum gas carriers,5069,
2021S01,S1   2021,2021,S,Semi-annual,1560,Developed economies: Asia and Oceania,8,Liquefied natural gas carriers,2011,
2021S01,S1   2021,2021,S,Semi-annual,1600,Developing economies excluding China,0,All ships,483363,
2021S01,S1   2021,2021,S,Semi-annual,1600,Developing economies excluding China,1,Passenger ships,145098,
2021S01,S1   2021,2021,S,Semi-annual,1600,Developing economies excluding China,2,Liquid bulk carriers,93658,
2021S01,S1   2021,2021,S,Semi-annual,1600,Developing economies excluding China,3,Container ships,103823,
2021S01,S1   2021,2021,S,Semi-annual,1600,Developing economies excluding China,4,Dry breakbulk carriers,64235,
2021S01,S1   2021,2021,S,Semi-annual,1600,Developing economies excluding China,5,Dry bulk carriers,47213,
2021S01,S1   2021,2021,S,Semi-annual,1600,Developing economies excluding China,6,Roll-on/ roll-off ships,16317,
2021S01,S1   2021,2021,S,Semi-annual,1600,Developing economies excluding China,7,Liquefied petroleum gas carriers,10828,
2021S01,S1   2021,2021,S,Semi-annual,1600,Developing economies excluding China,8,Liquefied natural gas carriers,2191,
2021S01,S1   2021,2021,S,Semi-annual,1601,Developing economies excluding LDCs,0,All ships,602546,
2021S01,S1   2021,2021,S,Semi-annual,1601,Developing economies excluding LDCs,1,Passenger ships,161603,
2021S01,S1   2021,2021,S,Semi-annual,1601,Developing economies excluding LDCs,2,Liquid bulk carriers,113969,
2021S01,S1   2021,2021,S,Semi-annual,1601,Developing economies excluding LDCs,3,Container ships,136486,
2021S01,S1   2021,2021,S,Semi-annual,1601,Developing economies excluding LDCs,4,Dry breakbulk carriers,76080,
2021S01,S1   2021,2021,S,Semi-annual,1601,Developing economies excluding LDCs,5,Dry bulk carriers,77939,
2021S01,S1   2021,2021,S,Semi-annual,1601,Developing economies excluding LDCs,6,Roll-on/ roll-off ships,18588,
2021S01,S1   2021,2021,S,Semi-annual,1601,Developing economies excluding LDCs,7,Liquefied petroleum gas carriers,15052,
2021S01,S1   2021,2021,S,Semi-annual,1601,Developing economies excluding LDCs,8,Liquefied natural gas carriers,2829,
2021S01,S1   2021,2021,S,Semi-annual,1610,LDCs (Least developed countries),0,All ships,13259,
2021S01,S1   2021,2021,S,Semi-annual,1610,LDCs (Least developed countries),1,Passenger ships,110,
2021S01,S1   2021,2021,S,Semi-annual,1610,LDCs (Least developed countries),2,Liquid bulk carriers,2491,
2021S01,S1   2021,2021,S,Semi-annual,1610,LDCs (Least developed countries),3,Container ships,3735,
2021S01,S1   2021,2021,S,Semi-annual,1610,LDCs (Least developed countries),4,Dry breakbulk carriers,3456,
2021S01,S1   2021,2021,S,Semi-annual,1610,LDCs (Least developed countries),5,Dry bulk carriers,2176,
2021S01,S1   2021,2021,S,Semi-annual,1610,LDCs (Least developed countries),6,Roll-on/ roll-off ships,904,
2021S01,S1   2021,2021,S,Semi-annual,1610,LDCs (Least developed countries),7,Liquefied petroleum gas carriers,360,
2021S01,S1   2021,2021,S,Semi-annual,1610,LDCs (Least developed countries),8,Liquefied natural gas carriers,27,
2021S01,S1   2021,2021,S,Semi-annual,1611,LDCs: Africa and Haiti,0,All ships,9817,
2021S01,S1   2021,2021,S,Semi-annual,1611,LDCs: Africa and Haiti,1,Passenger ships,110,
2021S01,S1   2021,2021,S,Semi-annual,1611,LDCs: Africa and Haiti,2,Liquid bulk carriers,1711,
2021S01,S1   2021,2021,S,Semi-annual,1611,LDCs: Africa and Haiti,3,Container ships,2348,
2021S01,S1   2021,2021,S,Semi-annual,1611,LDCs: Africa and Haiti,4,Dry breakbulk carriers,2767,
2021S01,S1   2021,2021,S,Semi-annual,1611,LDCs: Africa and Haiti,5,Dry bulk carriers,1720,
2021S01,S1   2021,2021,S,Semi-annual,1611,LDCs: Africa and Haiti,6,Roll-on/ roll-off ships,904,
2021S01,S1   2021,2021,S,Semi-annual,1611,LDCs: Africa and Haiti,7,Liquefied petroleum gas carriers,230,
2021S01,S1   2021,2021,S,Semi-annual,1611,LDCs: Africa and Haiti,8,Liquefied natural gas carriers,27,
2021S01,S1   2021,2021,S,Semi-annual,1612,LDCs: Asia,0,All ships,3177,
2021S01,S1   2021,2021,S,Semi-annual,1612,LDCs: Asia,2,Liquid bulk carriers,745,
2021S01,S1   2021,2021,S,Semi-annual,1612,LDCs: Asia,3,Container ships,1330,
2021S01,S1   2021,2021,S,Semi-annual,1612,LDCs: Asia,4,Dry breakbulk carriers,542,
2021S01,S1   2021,2021,S,Semi-annual,1612,LDCs: Asia,5,Dry bulk carriers,430,
2021S01,S1   2021,2021,S,Semi-annual,1612,LDCs: Asia,7,Liquefied petroleum gas carriers,130,
2021S01,S1   2021,2021,S,Semi-annual,1613,LDCs: Islands,0,All ships,265,
2021S01,S1   2021,2021,S,Semi-annual,1613,LDCs: Islands,2,Liquid bulk carriers,35,
2021S01,S1   2021,2021,S,Semi-annual,1613,LDCs: Islands,3,Container ships,57,
2021S01,S1   2021,2021,S,Semi-annual,1613,LDCs: Islands,4,Dry breakbulk carriers,147,
2021S01,S1   2021,2021,S,Semi-annual,1613,LDCs: Islands,5,Dry bulk carriers,26,
2021S01,S1   2021,2021,S,Semi-annual,1614,LDCs: Africa,0,All ships,9329,
2021S01,S1   2021,2021,S,Semi-annual,1614,LDCs: Africa,1,Passenger ships,110,
