Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
2020S01,S1   2020,2020,S,Semi-annual,1430,Developing economies: Asia,4,Dry breakbulk carriers,54868,
2020S01,S1   2020,2020,S,Semi-annual,1430,Developing economies: Asia,5,Dry bulk carriers,54335,
2020S01,S1   2020,2020,S,Semi-annual,1430,Developing economies: Asia,6,Roll-on/ roll-off ships,10951,
2020S01,S1   2020,2020,S,Semi-annual,1430,Developing economies: Asia,7,Liquefied petroleum gas carriers,10743,
2020S01,S1   2020,2020,S,Semi-annual,1430,Developing economies: Asia,8,Liquefied natural gas carriers,2072,
2020S01,S1   2020,2020,S,Semi-annual,1450,Developing economies: Oceania,0,All ships,6642,
2020S01,S1   2020,2020,S,Semi-annual,1450,Developing economies: Oceania,1,Passenger ships,3345,
2020S01,S1   2020,2020,S,Semi-annual,1450,Developing economies: Oceania,2,Liquid bulk carriers,454,
2020S01,S1   2020,2020,S,Semi-annual,1450,Developing economies: Oceania,3,Container ships,1134,
2020S01,S1   2020,2020,S,Semi-annual,1450,Developing economies: Oceania,4,Dry breakbulk carriers,1238,
2020S01,S1   2020,2020,S,Semi-annual,1450,Developing economies: Oceania,5,Dry bulk carriers,310,
2020S01,S1   2020,2020,S,Semi-annual,1450,Developing economies: Oceania,6,Roll-on/ roll-off ships,68,
2020S01,S1   2020,2020,S,Semi-annual,1450,Developing economies: Oceania,7,Liquefied petroleum gas carriers,36,
2020S01,S1   2020,2020,S,Semi-annual,1450,Developing economies: Oceania,8,Liquefied natural gas carriers,57,
2020S01,S1   2020,2020,S,Semi-annual,1460,Developing economies: Asia and Oceania,0,All ships,469763,
2020S01,S1   2020,2020,S,Semi-annual,1460,Developing economies: Asia and Oceania,1,Passenger ships,139134,
2020S01,S1   2020,2020,S,Semi-annual,1460,Developing economies: Asia and Oceania,2,Liquid bulk carriers,89451,
2020S01,S1   2020,2020,S,Semi-annual,1460,Developing economies: Asia and Oceania,3,Container ships,106500,
2020S01,S1   2020,2020,S,Semi-annual,1460,Developing economies: Asia and Oceania,4,Dry breakbulk carriers,56106,
2020S01,S1   2020,2020,S,Semi-annual,1460,Developing economies: Asia and Oceania,5,Dry bulk carriers,54645,
2020S01,S1   2020,2020,S,Semi-annual,1460,Developing economies: Asia and Oceania,6,Roll-on/ roll-off ships,11019,
2020S01,S1   2020,2020,S,Semi-annual,1460,Developing economies: Asia and Oceania,7,Liquefied petroleum gas carriers,10779,
2020S01,S1   2020,2020,S,Semi-annual,1460,Developing economies: Asia and Oceania,8,Liquefied natural gas carriers,2129,
2020S01,S1   2020,2020,S,Semi-annual,1500,Developed economies,0,All ships,1273499,
2020S01,S1   2020,2020,S,Semi-annual,1500,Developed economies,1,Passenger ships,787852,
2020S01,S1   2020,2020,S,Semi-annual,1500,Developed economies,2,Liquid bulk carriers,131542,
2020S01,S1   2020,2020,S,Semi-annual,1500,Developed economies,3,Container ships,88808,
2020S01,S1   2020,2020,S,Semi-annual,1500,Developed economies,4,Dry breakbulk carriers,129219,
2020S01,S1   2020,2020,S,Semi-annual,1500,Developed economies,5,Dry bulk carriers,56440,
2020S01,S1   2020,2020,S,Semi-annual,1500,Developed economies,6,Roll-on/ roll-off ships,63950,
2020S01,S1   2020,2020,S,Semi-annual,1500,Developed economies,7,Liquefied petroleum gas carriers,12207,
2020S01,S1   2020,2020,S,Semi-annual,1500,Developed economies,8,Liquefied natural gas carriers,3481,
2020S01,S1   2020,2020,S,Semi-annual,1520,Developed economies: Americas,0,All ships,167656,
2020S01,S1   2020,2020,S,Semi-annual,1520,Developed economies: Americas,1,Passenger ships,122088,
2020S01,S1   2020,2020,S,Semi-annual,1520,Developed economies: Americas,2,Liquid bulk carriers,12463,
2020S01,S1   2020,2020,S,Semi-annual,1520,Developed economies: Americas,3,Container ships,10727,
2020S01,S1   2020,2020,S,Semi-annual,1520,Developed economies: Americas,4,Dry breakbulk carriers,4405,
2020S01,S1   2020,2020,S,Semi-annual,1520,Developed economies: Americas,5,Dry bulk carriers,11554,
2020S01,S1   2020,2020,S,Semi-annual,1520,Developed economies: Americas,6,Roll-on/ roll-off ships,4897,
2020S01,S1   2020,2020,S,Semi-annual,1520,Developed economies: Americas,7,Liquefied petroleum gas carriers,1111,
2020S01,S1   2020,2020,S,Semi-annual,1520,Developed economies: Americas,8,Liquefied natural gas carriers,411,
2020S01,S1   2020,2020,S,Semi-annual,1530,Developed economies: Asia,0,All ships,170984,
2020S01,S1   2020,2020,S,Semi-annual,1530,Developed economies: Asia,1,Passenger ships,44858,
2020S01,S1   2020,2020,S,Semi-annual,1530,Developed economies: Asia,2,Liquid bulk carriers,30541,
2020S01,S1   2020,2020,S,Semi-annual,1530,Developed economies: Asia,3,Container ships,31170,
2020S01,S1   2020,2020,S,Semi-annual,1530,Developed economies: Asia,4,Dry breakbulk carriers,20815,
2020S01,S1   2020,2020,S,Semi-annual,1530,Developed economies: Asia,5,Dry bulk carriers,19188,
2020S01,S1   2020,2020,S,Semi-annual,1530,Developed economies: Asia,6,Roll-on/ roll-off ships,18673,
2020S01,S1   2020,2020,S,Semi-annual,1530,Developed economies: Asia,7,Liquefied petroleum gas carriers,4508,
2020S01,S1   2020,2020,S,Semi-annual,1530,Developed economies: Asia,8,Liquefied natural gas carriers,1231,
2020S01,S1   2020,2020,S,Semi-annual,1540,Developed economies: Europe,0,All ships,898245,
2020S01,S1   2020,2020,S,Semi-annual,1540,Developed economies: Europe,1,Passenger ships,601222,
2020S01,S1   2020,2020,S,Semi-annual,1540,Developed economies: Europe,2,Liquid bulk carriers,86434,
2020S01,S1   2020,2020,S,Semi-annual,1540,Developed economies: Europe,3,Container ships,43633,
2020S01,S1   2020,2020,S,Semi-annual,1540,Developed economies: Europe,4,Dry breakbulk carriers,102900,
2020S01,S1   2020,2020,S,Semi-annual,1540,Developed economies: Europe,5,Dry bulk carriers,17493,
2020S01,S1   2020,2020,S,Semi-annual,1540,Developed economies: Europe,6,Roll-on/ roll-off ships,38920,
2020S01,S1   2020,2020,S,Semi-annual,1540,Developed economies: Europe,7,Liquefied petroleum gas carriers,6385,
2020S01,S1   2020,2020,S,Semi-annual,1540,Developed economies: Europe,8,Liquefied natural gas carriers,1258,
2020S01,S1   2020,2020,S,Semi-annual,1550,Developed economies: Oceania,0,All ships,36614,
2020S01,S1   2020,2020,S,Semi-annual,1550,Developed economies: Oceania,1,Passenger ships,19684,
2020S01,S1   2020,2020,S,Semi-annual,1550,Developed economies: Oceania,2,Liquid bulk carriers,2104,
2020S01,S1   2020,2020,S,Semi-annual,1550,Developed economies: Oceania,3,Container ships,3278,
2020S01,S1   2020,2020,S,Semi-annual,1550,Developed economies: Oceania,4,Dry breakbulk carriers,1099,
2020S01,S1   2020,2020,S,Semi-annual,1550,Developed economies: Oceania,5,Dry bulk carriers,8205,
2020S01,S1   2020,2020,S,Semi-annual,1550,Developed economies: Oceania,6,Roll-on/ roll-off ships,1460,
2020S01,S1   2020,2020,S,Semi-annual,1550,Developed economies: Oceania,7,Liquefied petroleum gas carriers,203,
2020S01,S1   2020,2020,S,Semi-annual,1550,Developed economies: Oceania,8,Liquefied natural gas carriers,581,
2020S01,S1   2020,2020,S,Semi-annual,156,China,0,All ships,125613,
2020S01,S1   2020,2020,S,Semi-annual,156,China,1,Passenger ships,15703,
2020S01,S1   2020,2020,S,Semi-annual,156,China,2,Liquid bulk carriers,21484,
2020S01,S1   2020,2020,S,Semi-annual,156,China,3,Container ships,35750,
2020S01,S1   2020,2020,S,Semi-annual,156,China,4,Dry breakbulk carriers,14654,
2020S01,S1   2020,2020,S,Semi-annual,156,China,5,Dry bulk carriers,31112,
2020S01,S1   2020,2020,S,Semi-annual,156,China,6,Roll-on/ roll-off ships,2343,
2020S01,S1   2020,2020,S,Semi-annual,156,China,7,Liquefied petroleum gas carriers,4043,
2020S01,S1   2020,2020,S,Semi-annual,156,China,8,Liquefied natural gas carriers,524,
2020S01,S1   2020,2020,S,Semi-annual,1560,Developed economies: Asia and Oceania,0,All ships,207598,
2020S01,S1   2020,2020,S,Semi-annual,1560,Developed economies: Asia and Oceania,1,Passenger ships,64542,
2020S01,S1   2020,2020,S,Semi-annual,1560,Developed economies: Asia and Oceania,2,Liquid bulk carriers,32645,
2020S01,S1   2020,2020,S,Semi-annual,1560,Developed economies: Asia and Oceania,3,Container ships,34448,
2020S01,S1   2020,2020,S,Semi-annual,1560,Developed economies: Asia and Oceania,4,Dry breakbulk carriers,21914,
2020S01,S1   2020,2020,S,Semi-annual,1560,Developed economies: Asia and Oceania,5,Dry bulk carriers,27393,
2020S01,S1   2020,2020,S,Semi-annual,1560,Developed economies: Asia and Oceania,6,Roll-on/ roll-off ships,20133,
2020S01,S1   2020,2020,S,Semi-annual,1560,Developed economies: Asia and Oceania,7,Liquefied petroleum gas carriers,4711,
2020S01,S1   2020,2020,S,Semi-annual,1560,Developed economies: Asia and Oceania,8,Liquefied natural gas carriers,1812,
2020S01,S1   2020,2020,S,Semi-annual,1600,Developing economies excluding China,0,All ships,464595,
2020S01,S1   2020,2020,S,Semi-annual,1600,Developing economies excluding China,1,Passenger ships,147679,
2020S01,S1   2020,2020,S,Semi-annual,1600,Developing economies excluding China,2,Liquid bulk carriers,90074,
2020S01,S1   2020,2020,S,Semi-annual,1600,Developing economies excluding China,3,Container ships,100789,
2020S01,S1   2020,2020,S,Semi-annual,1600,Developing economies excluding China,4,Dry breakbulk carriers,57600,
2020S01,S1   2020,2020,S,Semi-annual,1600,Developing economies excluding China,5,Dry bulk carriers,42196,
2020S01,S1   2020,2020,S,Semi-annual,1600,Developing economies excluding China,6,Roll-on/ roll-off ships,14705,
2020S01,S1   2020,2020,S,Semi-annual,1600,Developing economies excluding China,7,Liquefied petroleum gas carriers,9439,
2020S01,S1   2020,2020,S,Semi-annual,1600,Developing economies excluding China,8,Liquefied natural gas carriers,2113,
2020S01,S1   2020,2020,S,Semi-annual,1601,Developing economies excluding LDCs,0,All ships,576939,
2020S01,S1   2020,2020,S,Semi-annual,1601,Developing economies excluding LDCs,1,Passenger ships,162893,
2020S01,S1   2020,2020,S,Semi-annual,1601,Developing economies excluding LDCs,2,Liquid bulk carriers,109249,
2020S01,S1   2020,2020,S,Semi-annual,1601,Developing economies excluding LDCs,3,Container ships,132563,
2020S01,S1   2020,2020,S,Semi-annual,1601,Developing economies excluding LDCs,4,Dry breakbulk carriers,68955,
2020S01,S1   2020,2020,S,Semi-annual,1601,Developing economies excluding LDCs,5,Dry bulk carriers,71280,
2020S01,S1   2020,2020,S,Semi-annual,1601,Developing economies excluding LDCs,6,Roll-on/ roll-off ships,16218,
2020S01,S1   2020,2020,S,Semi-annual,1601,Developing economies excluding LDCs,7,Liquefied petroleum gas carriers,13180,
2020S01,S1   2020,2020,S,Semi-annual,1601,Developing economies excluding LDCs,8,Liquefied natural gas carriers,2601,
2020S01,S1   2020,2020,S,Semi-annual,1610,LDCs (Least developed countries),0,All ships,13269,
2020S01,S1   2020,2020,S,Semi-annual,1610,LDCs (Least developed countries),1,Passenger ships,489,
2020S01,S1   2020,2020,S,Semi-annual,1610,LDCs (Least developed countries),2,Liquid bulk carriers,2309,
2020S01,S1   2020,2020,S,Semi-annual,1610,LDCs (Least developed countries),3,Container ships,3976,
2020S01,S1   2020,2020,S,Semi-annual,1610,LDCs (Least developed countries),4,Dry breakbulk carriers,3299,
2020S01,S1   2020,2020,S,Semi-annual,1610,LDCs (Least developed countries),5,Dry bulk carriers,2028,
2020S01,S1   2020,2020,S,Semi-annual,1610,LDCs (Least developed countries),6,Roll-on/ roll-off ships,830,
2020S01,S1   2020,2020,S,Semi-annual,1610,LDCs (Least developed countries),7,Liquefied petroleum gas carriers,302,
2020S01,S1   2020,2020,S,Semi-annual,1610,LDCs (Least developed countries),8,Liquefied natural gas carriers,36,
2020S01,S1   2020,2020,S,Semi-annual,1611,LDCs: Africa and Haiti,0,All ships,9846,
2020S01,S1   2020,2020,S,Semi-annual,1611,LDCs: Africa and Haiti,1,Passenger ships,474,
