Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value
2020,S,Semi-annual,36,Australia,5,Dry bulk carriers,1.6215,,10,,59257,,152457,,110888.0,,299688.0,,,,,,PORT BOTANY,337,3.907,327,-63.0
2020,S,Semi-annual,36,Australia,6,Roll-on/ roll-off ships,,,13,,37141,,76420,,14643.0,,43878.0,,,,,,ACAJUTLA,249,0.64,249,-11.0
2020,S,Semi-annual,36,Australia,6,Roll-on/ roll-off ships,,,13,,37141,,76420,,14643.0,,43878.0,,,,,,BELL BAY,163,-0.205,163,5.0
2020,S,Semi-annual,36,Australia,6,Roll-on/ roll-off ships,,,13,,37141,,76420,,14643.0,,43878.0,,,,,,BRISTOL,294,1.462,277,-19.0
2020,S,Semi-annual,36,Australia,6,Roll-on/ roll-off ships,,,13,,37141,,76420,,14643.0,,43878.0,,,,,,FREETOWN,220,0.35,319,-49.0
2020,S,Semi-annual,36,Australia,6,Roll-on/ roll-off ships,,,13,,37141,,76420,,14643.0,,43878.0,,,,,,MOJI,111,-0.663,123,11.0
2020,S,Semi-annual,36,Australia,6,Roll-on/ roll-off ships,,,13,,37141,,76420,,14643.0,,43878.0,,,,,,PORT BOTANY,337,3.907,327,-63.0
2020,S,Semi-annual,36,Australia,7,Liquefied petroleum gas carriers,0.9323,,10,,13740,,50676,,15648.0,,58591.0,,,,,,ACAJUTLA,249,0.64,249,-11.0
2020,S,Semi-annual,36,Australia,7,Liquefied petroleum gas carriers,0.9323,,10,,13740,,50676,,15648.0,,58591.0,,,,,,BELL BAY,163,-0.205,163,5.0
2020,S,Semi-annual,36,Australia,7,Liquefied petroleum gas carriers,0.9323,,10,,13740,,50676,,15648.0,,58591.0,,,,,,BRISTOL,294,1.462,277,-19.0
2020,S,Semi-annual,36,Australia,7,Liquefied petroleum gas carriers,0.9323,,10,,13740,,50676,,15648.0,,58591.0,,,,,,FREETOWN,220,0.35,319,-49.0
2020,S,Semi-annual,36,Australia,7,Liquefied petroleum gas carriers,0.9323,,10,,13740,,50676,,15648.0,,58591.0,,,,,,MOJI,111,-0.663,123,11.0
2020,S,Semi-annual,36,Australia,7,Liquefied petroleum gas carriers,0.9323,,10,,13740,,50676,,15648.0,,58591.0,,,,,,PORT BOTANY,337,3.907,327,-63.0
2020,S,Semi-annual,36,Australia,8,Liquefied natural gas carriers,1.1851,,9,,111338,,144978,,85324.0,,97730.0,,,,,,ACAJUTLA,249,0.64,249,-11.0
2020,S,Semi-annual,36,Australia,8,Liquefied natural gas carriers,1.1851,,9,,111338,,144978,,85324.0,,97730.0,,,,,,BELL BAY,163,-0.205,163,5.0
2020,S,Semi-annual,36,Australia,8,Liquefied natural gas carriers,1.1851,,9,,111338,,144978,,85324.0,,97730.0,,,,,,BRISTOL,294,1.462,277,-19.0
2020,S,Semi-annual,36,Australia,8,Liquefied natural gas carriers,1.1851,,9,,111338,,144978,,85324.0,,97730.0,,,,,,FREETOWN,220,0.35,319,-49.0
2020,S,Semi-annual,36,Australia,8,Liquefied natural gas carriers,1.1851,,9,,111338,,144978,,85324.0,,97730.0,,,,,,MOJI,111,-0.663,123,11.0
2020,S,Semi-annual,36,Australia,8,Liquefied natural gas carriers,1.1851,,9,,111338,,144978,,85324.0,,97730.0,,,,,,PORT BOTANY,337,3.907,327,-63.0
2020,S,Semi-annual,124,Canada,0,All ships,0.9944,,27,,11129,,170618,,35515.0,,320780.0,,5192.0,,14414.0,,HAKATA,99,-0.758,25,59.0
2020,S,Semi-annual,124,Canada,0,All ships,0.9944,,27,,11129,,170618,,35515.0,,320780.0,,5192.0,,14414.0,,NAHA,92,-0.883,111,15.0
2020,S,Semi-annual,124,Canada,0,All ships,0.9944,,27,,11129,,170618,,35515.0,,320780.0,,5192.0,,14414.0,,PRINCE RUPERT,330,2.979,323,-56.0
2020,S,Semi-annual,124,Canada,0,All ships,0.9944,,27,,11129,,170618,,35515.0,,320780.0,,5192.0,,14414.0,,SALERNO,174,-0.08,168,3.0
2020,S,Semi-annual,124,Canada,0,All ships,0.9944,,27,,11129,,170618,,35515.0,,320780.0,,5192.0,,14414.0,,VALPARAISO,222,0.365,102,16.0
2020,S,Semi-annual,124,Canada,1,Passenger ships,,,31,,6277,,149215,,,,,,,,,,HAKATA,99,-0.758,25,59.0
2020,S,Semi-annual,124,Canada,1,Passenger ships,,,31,,6277,,149215,,,,,,,,,,NAHA,92,-0.883,111,15.0
2020,S,Semi-annual,124,Canada,1,Passenger ships,,,31,,6277,,149215,,,,,,,,,,PRINCE RUPERT,330,2.979,323,-56.0
2020,S,Semi-annual,124,Canada,1,Passenger ships,,,31,,6277,,149215,,,,,,,,,,SALERNO,174,-0.08,168,3.0
2020,S,Semi-annual,124,Canada,1,Passenger ships,,,31,,6277,,149215,,,,,,,,,,VALPARAISO,222,0.365,102,16.0
2020,S,Semi-annual,124,Canada,2,Liquid bulk carriers,1.0917,,12,,23713,,170618,,39795.0,,320780.0,,,,,,HAKATA,99,-0.758,25,59.0
2020,S,Semi-annual,124,Canada,2,Liquid bulk carriers,1.0917,,12,,23713,,170618,,39795.0,,320780.0,,,,,,NAHA,92,-0.883,111,15.0
2020,S,Semi-annual,124,Canada,2,Liquid bulk carriers,1.0917,,12,,23713,,170618,,39795.0,,320780.0,,,,,,PRINCE RUPERT,330,2.979,323,-56.0
2020,S,Semi-annual,124,Canada,2,Liquid bulk carriers,1.0917,,12,,23713,,170618,,39795.0,,320780.0,,,,,,SALERNO,174,-0.08,168,3.0
2020,S,Semi-annual,124,Canada,2,Liquid bulk carriers,1.0917,,12,,23713,,170618,,39795.0,,320780.0,,,,,,VALPARAISO,222,0.365,102,16.0
2020,S,Semi-annual,124,Canada,3,Container ships,1.6229,,14,,57154,,153666,,,,,,5192.0,,14414.0,,HAKATA,99,-0.758,25,59.0
2020,S,Semi-annual,124,Canada,3,Container ships,1.6229,,14,,57154,,153666,,,,,,5192.0,,14414.0,,NAHA,92,-0.883,111,15.0
2020,S,Semi-annual,124,Canada,3,Container ships,1.6229,,14,,57154,,153666,,,,,,5192.0,,14414.0,,PRINCE RUPERT,330,2.979,323,-56.0
2020,S,Semi-annual,124,Canada,3,Container ships,1.6229,,14,,57154,,153666,,,,,,5192.0,,14414.0,,SALERNO,174,-0.08,168,3.0
2020,S,Semi-annual,124,Canada,3,Container ships,1.6229,,14,,57154,,153666,,,,,,5192.0,,14414.0,,VALPARAISO,222,0.365,102,16.0
2020,S,Semi-annual,124,Canada,4,Dry breakbulk carriers,1.0125,,13,,13242,,41580,,18517.0,,56816.0,,,,,,HAKATA,99,-0.758,25,59.0
2020,S,Semi-annual,124,Canada,4,Dry breakbulk carriers,1.0125,,13,,13242,,41580,,18517.0,,56816.0,,,,,,NAHA,92,-0.883,111,15.0
2020,S,Semi-annual,124,Canada,4,Dry breakbulk carriers,1.0125,,13,,13242,,41580,,18517.0,,56816.0,,,,,,PRINCE RUPERT,330,2.979,323,-56.0
2020,S,Semi-annual,124,Canada,4,Dry breakbulk carriers,1.0125,,13,,13242,,41580,,18517.0,,56816.0,,,,,,SALERNO,174,-0.08,168,3.0
2020,S,Semi-annual,124,Canada,4,Dry breakbulk carriers,1.0125,,13,,13242,,41580,,18517.0,,56816.0,,,,,,VALPARAISO,222,0.365,102,16.0
2020,S,Semi-annual,124,Canada,5,Dry bulk carriers,0.5833,,21,,29092,,109500,,49986.0,,209954.0,,,,,,HAKATA,99,-0.758,25,59.0
2020,S,Semi-annual,124,Canada,5,Dry bulk carriers,0.5833,,21,,29092,,109500,,49986.0,,209954.0,,,,,,NAHA,92,-0.883,111,15.0
2020,S,Semi-annual,124,Canada,5,Dry bulk carriers,0.5833,,21,,29092,,109500,,49986.0,,209954.0,,,,,,PRINCE RUPERT,330,2.979,323,-56.0
2020,S,Semi-annual,124,Canada,5,Dry bulk carriers,0.5833,,21,,29092,,109500,,49986.0,,209954.0,,,,,,SALERNO,174,-0.08,168,3.0
2020,S,Semi-annual,124,Canada,5,Dry bulk carriers,0.5833,,21,,29092,,109500,,49986.0,,209954.0,,,,,,VALPARAISO,222,0.365,102,16.0
2020,S,Semi-annual,124,Canada,6,Roll-on/ roll-off ships,,,18,,10842,,100430,,6098.0,,55828.0,,,,,,HAKATA,99,-0.758,25,59.0
2020,S,Semi-annual,124,Canada,6,Roll-on/ roll-off ships,,,18,,10842,,100430,,6098.0,,55828.0,,,,,,NAHA,92,-0.883,111,15.0
2020,S,Semi-annual,124,Canada,6,Roll-on/ roll-off ships,,,18,,10842,,100430,,6098.0,,55828.0,,,,,,PRINCE RUPERT,330,2.979,323,-56.0
2020,S,Semi-annual,124,Canada,6,Roll-on/ roll-off ships,,,18,,10842,,100430,,6098.0,,55828.0,,,,,,SALERNO,174,-0.08,168,3.0
2020,S,Semi-annual,124,Canada,6,Roll-on/ roll-off ships,,,18,,10842,,100430,,6098.0,,55828.0,,,,,,VALPARAISO,222,0.365,102,16.0
2020,S,Semi-annual,124,Canada,7,Liquefied petroleum gas carriers,1.4882,,11,,41307,,51035,,48907.0,,54804.0,,,,,,HAKATA,99,-0.758,25,59.0
2020,S,Semi-annual,124,Canada,7,Liquefied petroleum gas carriers,1.4882,,11,,41307,,51035,,48907.0,,54804.0,,,,,,NAHA,92,-0.883,111,15.0
2020,S,Semi-annual,124,Canada,7,Liquefied petroleum gas carriers,1.4882,,11,,41307,,51035,,48907.0,,54804.0,,,,,,PRINCE RUPERT,330,2.979,323,-56.0
2020,S,Semi-annual,124,Canada,7,Liquefied petroleum gas carriers,1.4882,,11,,41307,,51035,,48907.0,,54804.0,,,,,,SALERNO,174,-0.08,168,3.0
2020,S,Semi-annual,124,Canada,7,Liquefied petroleum gas carriers,1.4882,,11,,41307,,51035,,48907.0,,54804.0,,,,,,VALPARAISO,222,0.365,102,16.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,CHATTOGRAM,306,1.809,298,-28.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,DAKAR,177,-0.031,120,12.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,DAMIETTA,250,0.65,297,-28.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,FREMANTLE,326,2.716,21,61.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,GRANGEMOUTH,243,0.56,6,92.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,LONDON,82,-1.117,355,-73.209
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,NOUAKCHOTT,356,-175.532,292,-25.0
