DATAFLOW,LAST UPDATE,freq,direct,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DK,2016,95829,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DK,2017,94638,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DK,2018,95989,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DK,2019,93727,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DK,2020,91382,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,DK,2021,94255,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EE,2010,46026,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EE,2011,48479,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EE,2012,43519,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EE,2013,42908,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EE,2014,43578,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EE,2015,34965,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EE,2016,33596,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EE,2017,34801,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EE,2018,35947,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EE,2019,37760,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EE,2020,37741,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EE,2021,38593,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EL,2010,129059,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EL,2011,135314,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EL,2012,153317,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EL,2013,160986,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EL,2014,168501,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EL,2015,167036,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EL,2016,175100,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EL,2017,181261,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EL,2018,190523,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EL,2019,194468,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EL,2020,178339,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EL,2021,178205,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ES,2010,377095,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ES,2011,403834,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ES,2012,419865,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ES,2013,397462,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ES,2014,427672,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ES,2015,447023,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ES,2016,451255,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ES,2017,483679,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ES,2018,497812,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ES,2019,496912,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ES,2020,455511,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,ES,2021,477021,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2007,2010,3646665,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2007,2011,3764199,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2007,2012,3723692,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2007,2013,3699865,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2007,2014,3771778,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2007,2015,3821533,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2007,2016,3842201,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2007,2017,3937093,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2007,2018,4046270,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2007,2019,4052771,
