Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
2018S01,S1   2018,2018,S,Semi-annual,191,Croatia,2,Liquid bulk carriers,1.02,,13,,17998,,84844,,31738,,164274,,,,,
2018S01,S1   2018,2018,S,Semi-annual,191,Croatia,3,Container ships,0.55,,13,,37578,,143521,,,,,,3427,,13100,
2018S01,S1   2018,2018,S,Semi-annual,191,Croatia,4,Dry breakbulk carriers,2.87,,21,,4544,,19426,,6152,,26931,,,,,
2018S01,S1   2018,2018,S,Semi-annual,191,Croatia,5,Dry bulk carriers,2.09,,33,,9724,,93360,,16659,,182060,,,,,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,0,All ships,0.74,,18,,9710,,214286,,7460,,299991,,1911,,19630,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,1,Passenger ships,,,18,,10060,,145655,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,2,Liquid bulk carriers,0.64,,16,,8235,,156919,,13327,,299991,,,,,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,3,Container ships,0.48,,12,,20595,,214286,,,,,,1911,,19630,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,4,Dry breakbulk carriers,0.85,,23,,2982,,24778,,4079,,37534,,,,,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,5,Dry bulk carriers,0.84,,29,,9688,,65950,,15462,,118863,,,,,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,6,Roll-on/ roll-off ships,,,18,,20990,,52485,,11985,,24485,,,,,
2018S01,S1   2018,2018,S,Semi-annual,208,Denmark,7,Liquefied petroleum gas carriers,1.08,,14,,4087,,9126,,4403,,10300,,,,,
2018S01,S1   2018,2018,S,Semi-annual,251,France,0,All ships,1.11,,16,,23254,,228081,,17264,,323183,,4917,,20776,
2018S01,S1   2018,2018,S,Semi-annual,251,France,1,Passenger ships,,,17,,24685,,228081,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,251,France,2,Liquid bulk carriers,1.06,,13,,13308,,166308,,22763,,323183,,,,,
2018S01,S1   2018,2018,S,Semi-annual,251,France,3,Container ships,0.76,,12,,54780,,217673,,,,,,4917,,20776,
2018S01,S1   2018,2018,S,Semi-annual,251,France,4,Dry breakbulk carriers,1.44,,16,,4668,,40322,,6544,,81279,,,,,
2018S01,S1   2018,2018,S,Semi-annual,251,France,5,Dry bulk carriers,3.22,,12,,27518,,94710,,48728,,181458,,,,,
2018S01,S1   2018,2018,S,Semi-annual,251,France,6,Roll-on/ roll-off ships,,,15,,28381,,76420,,11484,,46705,,,,,
2018S01,S1   2018,2018,S,Semi-annual,251,France,7,Liquefied petroleum gas carriers,1.08,,11,,7895,,48456,,8703,,55056,,,,,
2018S01,S1   2018,2018,S,Semi-annual,251,France,8,Liquefied natural gas carriers,1.21,,9,,98115,,163922,,76111,,130441,,,,,
2018S01,S1   2018,2018,S,Semi-annual,276,Germany,0,All ships,0.58,,18,,13497,,217673,,8428,,317106,,3825,,21413,
2018S01,S1   2018,2018,S,Semi-annual,276,Germany,1,Passenger ships,,,19,,12183,,171598,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,276,Germany,2,Liquid bulk carriers,0.36,,18,,4469,,160278,,7497,,317106,,,,,
2018S01,S1   2018,2018,S,Semi-annual,276,Germany,3,Container ships,0.79,,12,,41922,,217673,,,,,,3825,,21413,
2018S01,S1   2018,2018,S,Semi-annual,276,Germany,4,Dry breakbulk carriers,0.54,,19,,3468,,71543,,4669,,69990,,,,,
2018S01,S1   2018,2018,S,Semi-annual,276,Germany,5,Dry bulk carriers,2.43,,12,,29157,,107684,,51453,,209177,,,,,
2018S01,S1   2018,2018,S,Semi-annual,276,Germany,6,Roll-on/ roll-off ships,,,15,,28585,,100430,,11847,,55828,,,,,
2018S01,S1   2018,2018,S,Semi-annual,276,Germany,7,Liquefied petroleum gas carriers,0.73,,12,,4891,,35853,,5420,,42937,,,,,
2018S01,S1   2018,2018,S,Semi-annual,300,Greece,0,All ships,0.72,,21,,8620,,217617,,7401,,320051,,3693,,20388,
2018S01,S1   2018,2018,S,Semi-annual,300,Greece,1,Passenger ships,,,20,,8040,,138279,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,300,Greece,2,Liquid bulk carriers,0.55,,22,,5428,,161235,,8691,,320051,,,,,
2018S01,S1   2018,2018,S,Semi-annual,300,Greece,3,Container ships,0.92,,14,,40069,,217617,,,,,,3693,,20388,
2018S01,S1   2018,2018,S,Semi-annual,300,Greece,4,Dry breakbulk carriers,1.07,,31,,2738,,31920,,3826,,55683,,,,,
2018S01,S1   2018,2018,S,Semi-annual,300,Greece,5,Dry bulk carriers,0.36,,25,,5851,,63864,,9761,,114167,,,,,
2018S01,S1   2018,2018,S,Semi-annual,300,Greece,6,Roll-on/ roll-off ships,,,33,,19406,,77000,,8334,,48988,,,,,
2018S01,S1   2018,2018,S,Semi-annual,300,Greece,7,Liquefied petroleum gas carriers,0.92,,24,,4615,,20151,,5259,,24136,,,,,
2018S01,S1   2018,2018,S,Semi-annual,360,Indonesia,0,All ships,1.33,,21,,8175,,150695,,17248,,209249,,1430,,10800,
2018S01,S1   2018,2018,S,Semi-annual,360,Indonesia,1,Passenger ships,,,23,,5330,,150695,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,360,Indonesia,2,Liquid bulk carriers,1.32,,15,,8503,,76216,,13292,,126646,,,,,
2018S01,S1   2018,2018,S,Semi-annual,360,Indonesia,3,Container ships,1.06,,15,,15437,,128929,,,,,,1430,,10800,
2018S01,S1   2018,2018,S,Semi-annual,360,Indonesia,4,Dry breakbulk carriers,1.21,,19,,5014,,39258,,6384,,72562,,,,,
2018S01,S1   2018,2018,S,Semi-annual,360,Indonesia,5,Dry bulk carriers,3.67,,17,,26115,,107684,,46211,,209249,,,,,
2018S01,S1   2018,2018,S,Semi-annual,360,Indonesia,6,Roll-on/ roll-off ships,,,31,,8081,,63084,,3440,,21385,,,,,
2018S01,S1   2018,2018,S,Semi-annual,360,Indonesia,7,Liquefied petroleum gas carriers,1.12,,19,,9565,,49292,,10727,,58814,,,,,
2018S01,S1   2018,2018,S,Semi-annual,360,Indonesia,8,Liquefied natural gas carriers,1.24,,19,,92468,,133612,,69076,,96703,,,,,
2018S01,S1   2018,2018,S,Semi-annual,380,Italy,0,All ships,1.25,,27,,10320,,228081,,19068,,319300,,3642,,15908,
2018S01,S1   2018,2018,S,Semi-annual,380,Italy,1,Passenger ships,,,29,,7241,,228081,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,380,Italy,2,Liquid bulk carriers,1.31,,15,,17733,,160000,,30240,,319300,,,,,
2018S01,S1   2018,2018,S,Semi-annual,380,Italy,3,Container ships,0.82,,14,,40367,,176490,,,,,,3642,,15908,
2018S01,S1   2018,2018,S,Semi-annual,380,Italy,4,Dry breakbulk carriers,1.96,,17,,6139,,39258,,8567,,81279,,,,,
2018S01,S1   2018,2018,S,Semi-annual,380,Italy,5,Dry bulk carriers,3.49,,13,,24298,,151915,,42043,,313049,,,,,
2018S01,S1   2018,2018,S,Semi-annual,380,Italy,6,Roll-on/ roll-off ships,,,13,,30216,,77000,,12424,,48988,,,,,
2018S01,S1   2018,2018,S,Semi-annual,380,Italy,7,Liquefied petroleum gas carriers,1.39,,13,,8712,,27546,,10011,,28500,,,,,
2018S01,S1   2018,2018,S,Semi-annual,392,Japan,0,All ships,0.41,,14,,11379,,217617,,14885,,402347,,1631,,20388,
2018S01,S1   2018,2018,S,Semi-annual,392,Japan,1,Passenger ships,,,15,,6201,,168666,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,392,Japan,2,Liquid bulk carriers,0.31,,12,,7483,,166093,,12672,,318473,,,,,
2018S01,S1   2018,2018,S,Semi-annual,392,Japan,3,Container ships,0.35,,12,,17127,,217617,,,,,,1631,,20388,
2018S01,S1   2018,2018,S,Semi-annual,392,Japan,4,Dry breakbulk carriers,1.15,,14,,6562,,49720,,8768,,138743,,,,,
2018S01,S1   2018,2018,S,Semi-annual,392,Japan,5,Dry bulk carriers,0.93,,14,,17878,,201384,,31466,,402347,,,,,
2018S01,S1   2018,2018,S,Semi-annual,392,Japan,6,Roll-on/ roll-off ships,,,12,,18960,,77000,,7844,,43878,,,,,
2018S01,S1   2018,2018,S,Semi-annual,392,Japan,7,Liquefied petroleum gas carriers,0.31,,16,,6086,,48772,,6670,,58899,,,,,
2018S01,S1   2018,2018,S,Semi-annual,392,Japan,8,Liquefied natural gas carriers,0.99,,13,,73412,,163922,,53018,,130171,,,,,
2018S01,S1   2018,2018,S,Semi-annual,410,"Korea, Republic of",0,All ships,0.77,,15,,19565,,217673,,20831,,327095,,2821,,20776,
2018S01,S1   2018,2018,S,Semi-annual,410,"Korea, Republic of",1,Passenger ships,,,21,,13965,,168666,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,410,"Korea, Republic of",2,Liquid bulk carriers,0.78,,14,,13072,,170004,,22686,,323183,,,,,
