,Period Label,Year,Location,Vessel Type,Median time in port (days),Average age of vessels,Average size (GT) of vessels,Maximum size (GT) of vessels,Average cargo carrying capacity (dwt) per vessel,Maximum cargo carrying capacity (dwt) of vessels,Average container carrying capacity (TEU) per container ship,Maximum container carrying capacity (TEU) of container ships
64,S1-2018,2018,Germany,Liquefied petroleum gas carriers,0.73,12,4891,35853,5420.0,42937.0,,
65,S1-2018,2018,Greece,All ships,0.72,21,8620,217617,7401.0,320051.0,3693.0,20388.0
66,S1-2018,2018,Greece,Passenger ships,,20,8040,138279,,,,
67,S1-2018,2018,Greece,Liquid bulk carriers,0.55,22,5428,161235,8691.0,320051.0,,
68,S1-2018,2018,Greece,Container ships,0.92,14,40069,217617,,,3693.0,20388.0
69,S1-2018,2018,Greece,Dry breakbulk carriers,1.07,31,2738,31920,3826.0,55683.0,,
70,S1-2018,2018,Greece,Dry bulk carriers,0.36,25,5851,63864,9761.0,114167.0,,
71,S1-2018,2018,Greece,Roll-on/ roll-off ships,,33,19406,77000,8334.0,48988.0,,
72,S1-2018,2018,Greece,Liquefied petroleum gas carriers,0.92,24,4615,20151,5259.0,24136.0,,
73,S1-2018,2018,Indonesia,All ships,1.33,21,8175,150695,17248.0,209249.0,1430.0,10800.0
74,S1-2018,2018,Indonesia,Passenger ships,,23,5330,150695,,,,
75,S1-2018,2018,Indonesia,Liquid bulk carriers,1.32,15,8503,76216,13292.0,126646.0,,
76,S1-2018,2018,Indonesia,Container ships,1.06,15,15437,128929,,,1430.0,10800.0
77,S1-2018,2018,Indonesia,Dry breakbulk carriers,1.21,19,5014,39258,6384.0,72562.0,,
78,S1-2018,2018,Indonesia,Dry bulk carriers,3.67,17,26115,107684,46211.0,209249.0,,
79,S1-2018,2018,Indonesia,Roll-on/ roll-off ships,,31,8081,63084,3440.0,21385.0,,
80,S1-2018,2018,Indonesia,Liquefied petroleum gas carriers,1.12,19,9565,49292,10727.0,58814.0,,
81,S1-2018,2018,Indonesia,Liquefied natural gas carriers,1.24,19,92468,133612,69076.0,96703.0,,
82,S1-2018,2018,Italy,All ships,1.25,27,10320,228081,19068.0,319300.0,3642.0,15908.0
83,S1-2018,2018,Italy,Passenger ships,,29,7241,228081,,,,
84,S1-2018,2018,Italy,Liquid bulk carriers,1.31,15,17733,160000,30240.0,319300.0,,
85,S1-2018,2018,Italy,Container ships,0.82,14,40367,176490,,,3642.0,15908.0
86,S1-2018,2018,Italy,Dry breakbulk carriers,1.96,17,6139,39258,8567.0,81279.0,,
87,S1-2018,2018,Italy,Dry bulk carriers,3.49,13,24298,151915,42043.0,313049.0,,
88,S1-2018,2018,Italy,Roll-on/ roll-off ships,,13,30216,77000,12424.0,48988.0,,
89,S1-2018,2018,Italy,Liquefied petroleum gas carriers,1.39,13,8712,27546,10011.0,28500.0,,
90,S1-2018,2018,Japan,All ships,0.41,14,11379,217617,14885.0,402347.0,1631.0,20388.0
91,S1-2018,2018,Japan,Passenger ships,,15,6201,168666,,,,
92,S1-2018,2018,Japan,Liquid bulk carriers,0.31,12,7483,166093,12672.0,318473.0,,
93,S1-2018,2018,Japan,Container ships,0.35,12,17127,217617,,,1631.0,20388.0
94,S1-2018,2018,Japan,Dry breakbulk carriers,1.15,14,6562,49720,8768.0,138743.0,,
95,S1-2018,2018,Japan,Dry bulk carriers,0.93,14,17878,201384,31466.0,402347.0,,
96,S1-2018,2018,Japan,Roll-on/ roll-off ships,,12,18960,77000,7844.0,43878.0,,
97,S1-2018,2018,Japan,Liquefied petroleum gas carriers,0.31,16,6086,48772,6670.0,58899.0,,
98,S1-2018,2018,Japan,Liquefied natural gas carriers,0.99,13,73412,163922,53018.0,130171.0,,
99,S1-2018,2018,"Korea, Republic of",All ships,0.77,15,19565,217673,20831.0,327095.0,2821.0,20776.0
100,S1-2018,2018,"Korea, Republic of",Passenger ships,,21,13965,168666,,,,
101,S1-2018,2018,"Korea, Republic of",Liquid bulk carriers,0.78,14,13072,170004,22686.0,323183.0,,
102,S1-2018,2018,"Korea, Republic of",Container ships,0.57,13,30389,217673,,,2821.0,20776.0
103,S1-2018,2018,"Korea, Republic of",Dry breakbulk carriers,1.27,18,5461,58265,8217.0,138743.0,,
104,S1-2018,2018,"Korea, Republic of",Dry bulk carriers,2.23,13,29027,172146,52818.0,327095.0,,
105,S1-2018,2018,"Korea, Republic of",Roll-on/ roll-off ships,,19,23697,77000,10135.0,39516.0,,
106,S1-2018,2018,"Korea, Republic of",Liquefied petroleum gas carriers,0.71,15,7251,48963,8031.0,58585.0,,
107,S1-2018,2018,"Korea, Republic of",Liquefied natural gas carriers,1.03,10,112224,168189,88429.0,155159.0,,
108,S1-2018,2018,Netherlands,All ships,0.56,15,12993,217673,14058.0,320926.0,2854.0,21413.0
109,S1-2018,2018,Netherlands,Passenger ships,,13,15810,168028,,,,
110,S1-2018,2018,Netherlands,Liquid bulk carriers,0.51,15,9447,170004,17325.0,320926.0,,
111,S1-2018,2018,Netherlands,Container ships,0.8,12,30924,217673,,,2854.0,21413.0
112,S1-2018,2018,Netherlands,Dry breakbulk carriers,0.35,18,4057,84503,5384.0,105302.0,,
113,S1-2018,2018,Netherlands,Dry bulk carriers,0.66,10,36328,134692,65185.0,262000.0,,
114,S1-2018,2018,Netherlands,Roll-on/ roll-off ships,,21,14289,77000,5949.0,48988.0,,
115,S1-2018,2018,Netherlands,Liquefied petroleum gas carriers,0.93,11,7038,48456,7961.0,58063.0,,
116,S1-2018,2018,Netherlands,Liquefied natural gas carriers,1.4,5,65743,136980,51694.0,121910.0,,
117,S1-2018,2018,Norway,All ships,0.43,17,4412,171598,6935.0,209177.0,788.0,1856.0
118,S1-2018,2018,Norway,Passenger ships,,17,4264,171598,,,,
119,S1-2018,2018,Norway,Liquid bulk carriers,0.61,16,11755,94729,18588.0,164746.0,,
120,S1-2018,2018,Norway,Container ships,0.32,15,8443,21586,,,788.0,1856.0
121,S1-2018,2018,Norway,Dry breakbulk carriers,0.34,22,2818,51065,3297.0,72148.0,,
122,S1-2018,2018,Norway,Dry bulk carriers,0.89,20,16315,108237,27211.0,209177.0,,
123,S1-2018,2018,Norway,Roll-on/ roll-off ships,,14,9786,37985,5669.0,15990.0,,
124,S1-2018,2018,Norway,Liquefied petroleum gas carriers,0.75,11,10681,48051,12022.0,55047.0,,
125,S1-2018,2018,Norway,Liquefied natural gas carriers,0.31,10,19431,121597,13848.0,84878.0,,
126,S1-2018,2018,Russian Federation,All ships,1.42,22,9289,145655,15397.0,206010.0,1481.0,6802.0
127,S1-2018,2018,Russian Federation,Passenger ships,,16,4350,145655,,,,
128,S1-2018,2018,Russian Federation,Liquid bulk carriers,1.09,21,11941,94729,19982.0,166300.0,,
129,S1-2018,2018,Russian Federation,Container ships,1.37,16,16577,80942,,,1481.0,6802.0
130,S1-2018,2018,Russian Federation,Dry breakbulk carriers,1.75,28,4020,43788,5130.0,53035.0,,
131,S1-2018,2018,Russian Federation,Dry bulk carriers,2.49,13,25482,106884,44389.0,206010.0,,
132,S1-2018,2018,Russian Federation,Roll-on/ roll-off ships,,26,9804,50309,5641.0,22910.0,,
133,S1-2018,2018,Russian Federation,Liquefied petroleum gas carriers,1.39,9,11432,19554,13112.0,26798.0,,
134,S1-2018,2018,Russian Federation,Liquefied natural gas carriers,1.15,8,110457,128975,79147.0,96958.0,,
135,S1-2018,2018,Spain,All ships,0.85,16,15885,228081,14110.0,209096.0,3256.0,20776.0
136,S1-2018,2018,Spain,Passenger ships,,19,13579,228081,,,,
137,S1-2018,2018,Spain,Liquid bulk carriers,0.84,11,11000,88393,18132.0,167294.0,,
138,S1-2018,2018,Spain,Container ships,0.66,13,35658,217673,,,3256.0,20776.0
139,S1-2018,2018,Spain,Dry breakbulk carriers,1.14,15,5161,51065,7226.0,81279.0,,
140,S1-2018,2018,Spain,Dry bulk carriers,2.25,14,25581,107666,44915.0,209096.0,,
141,S1-2018,2018,Spain,Roll-on/ roll-off ships,,16,22470,77000,8391.0,48988.0,,
142,S1-2018,2018,Spain,Liquefied petroleum gas carriers,0.95,11,7219,48456,8297.0,58690.0,,
143,S1-2018,2018,Spain,Liquefied natural gas carriers,1.04,10,92008,136739,72911.0,107153.0,,
144,S1-2018,2018,Sweden,All ships,0.79,22,15053,214286,8634.0,164214.0,1471.0,19630.0
145,S1-2018,2018,Sweden,Passenger ships,,24,18114,145655,,,,
146,S1-2018,2018,Sweden,Liquid bulk carriers,0.67,14,8284,94729,12944.0,164214.0,,
147,S1-2018,2018,Sweden,Container ships,0.67,14,15778,214286,,,1471.0,19630.0
148,S1-2018,2018,Sweden,Dry breakbulk carriers,1.04,19,3485,30469,4959.0,38330.0,,
149,S1-2018,2018,Sweden,Dry bulk carriers,0.53,28,6448,50633,9293.0,95746.0,,
150,S1-2018,2018,Sweden,Roll-on/ roll-off ships,,18,24919,100430,11297.0,55631.0,,
151,S1-2018,2018,Sweden,Liquefied petroleum gas carriers,0.81,14,7192,48051,8190.0,55047.0,,
152,S1-2018,2018,Sweden,Liquefied natural gas carriers,0.58,4,10517,22887,7448.0,20900.0,,
153,S1-2018,2018,Türkiye,All ships,1.23,24,5510,161135,14346.0,319360.0,3025.0,15226.0
154,S1-2018,2018,Türkiye,Passenger ships,,25,1624,98785,,,,
155,S1-2018,2018,Türkiye,Liquid bulk carriers,1.1,13,16081,161135,27665.0,319360.0,,
156,S1-2018,2018,Türkiye,Container ships,0.63,15,33242,153744,,,3025.0,15226.0
157,S1-2018,2018,Türkiye,Dry breakbulk carriers,1.55,26,3836,42515,5415.0,54204.0,,
158,S1-2018,2018,Türkiye,Dry bulk carriers,4.13,14,24923,106884,43041.0,206030.0,,
159,S1-2018,2018,Türkiye,Roll-on/ roll-off ships,,26,21413,76420,8942.0,46705.0,,
160,S1-2018,2018,Türkiye,Liquefied petroleum gas carriers,1.38,14,18648,48419,21780.0,58677.0,,
161,S1-2018,2018,Türkiye,Liquefied natural gas carriers,1.3,11,114906,137535,94648.0,122079.0,,
162,S1-2018,2018,United States of America,All ships,1.45,24,16327,227700,47104.0,320805.0,5254.0,14568.0
163,S1-2018,2018,United States of America,Passenger ships,,28,7727,227700,,,,
164,S1-2018,2018,United States of America,Liquid bulk carriers,1.64,10,36094,170004,62635.0,320805.0,,
165,S1-2018,2018,United States of America,Container ships,0.98,13,58876,167658,,,5254.0,14568.0
166,S1-2018,2018,United States of America,Dry breakbulk carriers,1.77,17,11766,66870,15805.0,73296.0,,
167,S1-2018,2018,United States of America,Dry bulk carriers,2.3,16,29914,94995,53041.0,183123.0,,
168,S1-2018,2018,United States of America,Roll-on/ roll-off ships,,13,55763,100430,20615.0,55828.0,,
169,S1-2018,2018,United States of America,Liquefied petroleum gas carriers,2.0,8,29913,57509,34320.0,59138.0,,
170,S1-2018,2018,United States of America,Liquefied natural gas carriers,1.37,5,88802,136740,72291.0,100000.0,,
171,S1-2018,2018,United Kingdom,All ships,1.09,17,13546,217673,11828.0,320051.0,3549.0,21413.0
172,S1-2018,2018,United Kingdom,Passenger ships,,18,12082,171598,,,,
173,S1-2018,2018,United Kingdom,Liquid bulk carriers,1.05,14,12484,165125,20747.0,320051.0,,
174,S1-2018,2018,United Kingdom,Container ships,0.73,13,38235,217673,,,3549.0,21413.0
175,S1-2018,2018,United Kingdom,Dry breakbulk carriers,1.45,18,3339,71543,4571.0,81279.0,,
176,S1-2018,2018,United Kingdom,Dry bulk carriers,2.59,14,25214,99195,43717.0,187882.0,,
177,S1-2018,2018,United Kingdom,Roll-on/ roll-off ships,,15,24195,100430,9931.0,55828.0,,
178,S1-2018,2018,United Kingdom,Liquefied petroleum gas carriers,1.07,11,6779,47454,7170.0,54684.0,,
179,S1-2018,2018,United Kingdom,Liquefied natural gas carriers,1.44,7,76288,168189,62942.0,154900.0,,
180,S2-2018,2018,World,All ships,0.97,18,14920,228081,24342.0,404389.0,3550.0,21413.0
181,S2-2018,2018,World,Passenger ships,,21,8883,228081,,,,
182,S2-2018,2018,World,Liquid bulk carriers,0.94,13,15615,172146,27155.0,323527.0,,
183,S2-2018,2018,World,Container ships,0.71,12,38635,217673,,,3550.0,21413.0
184,S2-2018,2018,World,Dry breakbulk carriers,1.1,19,5422,91784,7357.0,138743.0,,
185,S2-2018,2018,World,Dry bulk carriers,2.0,13,31757,203483,56815.0,404389.0,,
186,S2-2018,2018,World,Roll-on/ roll-off ships,,16,25444,100430,10272.0,55828.0,,
187,S2-2018,2018,World,Liquefied petroleum gas carriers,1.03,13,10779,58100,12181.0,64220.0,,
188,S2-2018,2018,World,Liquefied natural gas carriers,1.12,10,94838,168189,73747.0,155159.0,,
189,S2-2018,2018,Australia,All ships,1.46,19,26220,168666,78398.0,299688.0,4454.0,8530.0
190,S2-2018,2018,Australia,Passenger ships,,28,4233,168666,,,,
191,S2-2018,2018,Australia,Liquid bulk carriers,1.35,7,24303,154182,41643.0,299271.0,,
192,S2-2018,2018,Australia,Container ships,1.2,11,47972,94483,,,4454.0,8530.0
193,S2-2018,2018,Australia,Dry breakbulk carriers,1.9,12,17824,54651,25177.0,88272.0,,
194,S2-2018,2018,Australia,Dry bulk carriers,1.62,9,59027,152219,110722.0,299688.0,,
195,S2-2018,2018,Australia,Roll-on/ roll-off ships,,14,39591,76420,15112.0,43878.0,,
196,S2-2018,2018,Australia,Liquefied petroleum gas carriers,0.92,10,12421,48772,14546.0,58757.0,,
197,S2-2018,2018,Australia,Liquefied natural gas carriers,1.19,8,110490,144978,84144.0,109555.0,,
198,S2-2018,2018,Canada,All ships,0.54,25,13894,168666,34987.0,209325.0,5208.0,14052.0
199,S2-2018,2018,Canada,Passenger ships,,27,9026,168666,,,,
200,S2-2018,2018,Canada,Liquid bulk carriers,1.09,11,21174,85762,35021.0,159988.0,,
201,S2-2018,2018,Canada,Container ships,1.51,11,57831,153666,,,5208.0,14052.0
202,S2-2018,2018,Canada,Dry breakbulk carriers,0.28,9,9778,37499,12528.0,61026.0,,
203,S2-2018,2018,Canada,Dry bulk carriers,0.2,23,26610,108237,45599.0,209325.0,,
204,S2-2018,2018,Canada,Roll-on/ roll-off ships,,24,14398,100430,7639.0,55828.0,,
205,S2-2018,2018,China,All ships,1.04,12,32682,217673,44703.0,404389.0,4646.0,21413.0
206,S2-2018,2018,China,Passenger ships,,11,18176,168666,,,,
207,S2-2018,2018,China,Liquid bulk carriers,1.11,10,19635,170004,34299.0,323527.0,,
208,S2-2018,2018,China,Container ships,0.63,11,50122,217673,,,4646.0,21413.0
209,S2-2018,2018,China,Dry breakbulk carriers,1.19,15,10413,91784,14961.0,138743.0,,
210,S2-2018,2018,China,Dry bulk carriers,2.0,11,40877,203483,74302.0,404389.0,,
211,S2-2018,2018,China,Roll-on/ roll-off ships,,14,29816,76420,9901.0,43878.0,,
212,S2-2018,2018,China,Liquefied petroleum gas carriers,1.01,13,9632,58100,10689.0,58899.0,,
213,S2-2018,2018,China,Liquefied natural gas carriers,1.19,8,102757,168189,82671.0,155159.0,,
214,S2-2018,2018,Croatia,All ships,1.21,15,4045,160534,16837.0,299999.0,3765.0,13100.0
215,S2-2018,2018,Croatia,Passenger ships,,15,3687,121878,,,,
216,S2-2018,2018,Croatia,Liquid bulk carriers,1.05,13,17752,160534,30894.0,299999.0,,
217,S2-2018,2018,Croatia,Container ships,0.62,12,41659,143521,,,3765.0,13100.0
218,S2-2018,2018,Croatia,Dry breakbulk carriers,2.49,22,4914,32333,6541.0,44993.0,,
219,S2-2018,2018,Croatia,Dry bulk carriers,1.67,33,9683,92079,16837.0,179302.0,,
220,S2-2018,2018,Denmark,All ships,0.74,18,9842,214286,7450.0,164565.0,1975.0,19630.0
221,S2-2018,2018,Denmark,Passenger ships,,18,10169,145655,,,,
222,S2-2018,2018,Denmark,Liquid bulk carriers,0.66,16,7970,88099,12683.0,164565.0,,
223,S2-2018,2018,Denmark,Container ships,0.5,14,21929,214286,,,1975.0,19630.0
224,S2-2018,2018,Denmark,Dry breakbulk carriers,0.84,22,3123,20851,4224.0,19638.0,,
225,S2-2018,2018,Denmark,Dry bulk carriers,0.9,30,9340,47051,14928.0,87144.0,,
226,S2-2018,2018,Denmark,Roll-on/ roll-off ships,,17,20572,52485,11887.0,24485.0,,
227,S2-2018,2018,Denmark,Liquefied petroleum gas carriers,1.01,11,5432,27546,5833.0,27037.0,,
228,S2-2018,2018,France,All ships,1.12,16,23120,228081,17960.0,323183.0,5113.0,20776.0
229,S2-2018,2018,France,Passenger ships,,17,23757,228081,,,,
230,S2-2018,2018,France,Liquid bulk carriers,1.06,12,13330,165571,22722.0,323183.0,,
231,S2-2018,2018,France,Container ships,0.73,12,56496,217673,,,5113.0,20776.0
232,S2-2018,2018,France,Dry breakbulk carriers,1.54,15,4656,40322,6490.0,62942.0,,
233,S2-2018,2018,France,Dry bulk carriers,3.02,12,27525,94528,48851.0,181408.0,,
234,S2-2018,2018,France,Roll-on/ roll-off ships,,15,28627,77000,11373.0,46704.0,,
235,S2-2018,2018,France,Liquefied petroleum gas carriers,1.06,11,8153,47985,8965.0,55066.0,,
236,S2-2018,2018,France,Liquefied natural gas carriers,1.18,7,104229,141671,81577.0,122006.0,,
237,S2-2018,2018,Germany,All ships,0.54,18,13405,217673,8479.0,207721.0,3979.0,21413.0
238,S2-2018,2018,Germany,Passenger ships,,18,12176,183200,,,,
239,S2-2018,2018,Germany,Liquid bulk carriers,0.36,18,4388,93147,7381.0,164772.0,,
240,S2-2018,2018,Germany,Container ships,0.78,11,43392,217673,,,3979.0,21413.0
241,S2-2018,2018,Germany,Dry breakbulk carriers,0.46,20,3545,71543,4835.0,72924.0,,
242,S2-2018,2018,Germany,Dry bulk carriers,2.49,12,29710,108237,52412.0,207721.0,,
243,S2-2018,2018,Germany,Roll-on/ roll-off ships,,14,29529,100430,12281.0,55828.0,,
244,S2-2018,2018,Germany,Liquefied petroleum gas carriers,0.76,12,5081,25994,5532.0,29328.0,,
245,S2-2018,2018,Greece,All ships,0.69,20,8453,217617,7332.0,319191.0,3814.0,21237.0
246,S2-2018,2018,Greece,Passenger ships,,19,7971,125572,,,,
247,S2-2018,2018,Greece,Liquid bulk carriers,0.53,21,5188,159813,8226.0,319191.0,,
248,S2-2018,2018,Greece,Container ships,0.99,14,41332,217617,,,3814.0,21237.0
249,S2-2018,2018,Greece,Dry breakbulk carriers,1.07,31,2800,24960,3899.0,38165.0,,
250,S2-2018,2018,Greece,Dry bulk carriers,0.35,25,5732,42929,9551.0,81932.0,,
251,S2-2018,2018,Greece,Roll-on/ roll-off ships,,32,19082,76420,8191.0,31143.0,,
252,S2-2018,2018,Greece,Liquefied petroleum gas carriers,0.84,25,4618,16808,5275.0,17674.0,,
253,S2-2018,2018,Greece,Liquefied natural gas carriers,0.99,20,73812,113664,64140.0,93301.0,,
254,S2-2018,2018,Indonesia,All ships,1.35,19,8096,150695,17354.0,209956.0,1450.0,13100.0
255,S2-2018,2018,Indonesia,Passenger ships,,21,4864,150695,,,,
256,S2-2018,2018,Indonesia,Liquid bulk carriers,1.23,14,7953,76216,12281.0,126646.0,,
257,S2-2018,2018,Indonesia,Container ships,1.11,14,15424,141635,,,1450.0,13100.0
258,S2-2018,2018,Indonesia,Dry breakbulk carriers,1.31,18,5044,46515,6530.0,55770.0,,
259,S2-2018,2018,Indonesia,Dry bulk carriers,3.46,16,26031,107666,45847.0,209956.0,,
260,S2-2018,2018,Indonesia,Roll-on/ roll-off ships,,30,9770,69931,4238.0,21423.0,,
261,S2-2018,2018,Indonesia,Liquefied petroleum gas carriers,1.15,19,9353,49292,10523.0,58610.0,,
262,S2-2018,2018,Indonesia,Liquefied natural gas carriers,1.41,19,90368,118842,70530.0,95978.0,,
263,S2-2018,2018,Italy,All ships,1.25,28,10152,228081,18528.0,319191.0,3745.0,18400.0
264,S2-2018,2018,Italy,Passenger ships,,30,7566,228081,,,,
265,S2-2018,2018,Italy,Liquid bulk carriers,1.28,16,16711,162543,28412.0,319191.0,,
266,S2-2018,2018,Italy,Container ships,0.83,14,41378,194849,,,3745.0,18400.0
267,S2-2018,2018,Italy,Dry breakbulk carriers,1.88,18,6027,46295,8289.0,81279.0,,
268,S2-2018,2018,Italy,Dry bulk carriers,3.66,13,23780,151915,41082.0,313049.0,,
269,S2-2018,2018,Italy,Roll-on/ roll-off ships,,12,29814,76420,12349.0,46705.0,,
270,S2-2018,2018,Italy,Liquefied petroleum gas carriers,1.57,12,8547,23059,9814.0,27353.0,,
271,S2-2018,2018,Japan,All ships,0.41,13,11793,217612,15429.0,400000.0,1670.0,20388.0
272,S2-2018,2018,Japan,Passenger ships,,16,6631,168666,,,,
273,S2-2018,2018,Japan,Liquid bulk carriers,0.31,11,8359,164680,14305.0,323182.0,,
274,S2-2018,2018,Japan,Container ships,0.35,12,17534,217612,,,1670.0,20388.0
275,S2-2018,2018,Japan,Dry breakbulk carriers,1.1,14,6556,49720,8762.0,80500.0,,
276,S2-2018,2018,Japan,Dry bulk carriers,0.86,14,17782,203403,31238.0,400000.0,,
277,S2-2018,2018,Japan,Roll-on/ roll-off ships,,11,18947,76500,7876.0,43878.0,,
