,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEASURE - Metric tons in millions
,YEAR,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
  Africa,Other tanker trade discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.00174429,44.54131903,43.524576,39.763217,39.337152,46.311793,51.053201,59.499264,70.999087,72.081207,81.189159,93.528883,99.938864,113.364316,107.944316
  Africa,Dry cargo discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,268.7431013,290.1789014,288.4767432,301.8380392,319.3501552,275.6798202,298.928445,310.710785,337.000246,363.505445,360.14731,341.965033,362.828433,384.995433,371.515274
  Africa,Total goods discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,349.0135926,380.4224955,377.0206192,386.2014482,400.7074552,359.7774132,382.750146,406.821049,445.189333,474.936652,480.034469,476.004916,501.809297,533.673749,510.05859
    Northern Africa,Crude oil loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,129.235883,129.685252,132.921202,120.044848,122.584173,93.709094,127.958117,96.221767,67.882,63.452,57.645,83.6,88.436,92.243,54.443
    Northern Africa,Other tanker trade loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.482014,62.595084,61.856841,65.440912,65.010029,41.627395,39.228657,53.096,43.936607,31.962607,29.718244,30.320607,28.657407,43.027607,37.749307
    Northern Africa,Dry cargo loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.22585001,82.51259218,79.534753,72.160002,78.505864,86.119935,91.037528,100.977777,95.588409,82.113409,83.085363,88.128653,105.420653,115.796153,113.796153
    Northern Africa,Total goods loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,278.943747,274.7929282,274.312796,257.645762,266.100066,221.456424,258.224302,250.295544,207.407016,177.528016,170.448607,202.04926,222.51406,251.06676,205.98846
    Northern Africa,Crude oil discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.972803,7.528249,11.304,12.2433,11.2644,8.15,8.966,9.766,7.4,7.7,9.498,11.585,13.978,9.355,6.255
    Northern Africa,Other tanker trade discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.82727326,14.982804,17.142607,15.029252,15.141015,15.877,14.95288,22.08988,31.38188,29.175,28.586633,32.608,36.028,42.928,38.928
    Northern Africa,Dry cargo discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,143.2282379,156.5588372,155.125969,163.026601,178.087828,135.203516,143.552864,149.729982,168.262886,188.069766,185.874389,178.815723,183.746123,190.616123,176.716123
